date,series,value
1870-01-01,austria_hungary,5.0
1870-01-01,dutch,5.0
1870-01-01,france,2.25
1870-01-01,germany,4.5
1870-01-01,russia,6.0
1870-01-08,austria_hungary,5.0
1870-01-08,dutch,5.0
1870-01-08,france,2.0
1870-01-08,germany,5.0
1870-01-08,russia,6.0
1870-01-15,austria_hungary,5.0
1870-01-15,dutch,5.0
1870-01-15,france,2.0
1870-01-15,germany,5.0
1870-01-15,russia,6.0
1870-01-22,austria_hungary,5.0
1870-01-22,dutch,5.0
1870-01-22,france,2.5
1870-01-22,germany,4.5
1870-01-22,russia,5.0
1870-01-29,austria_hungary,5.0
1870-01-29,dutch,5.0
1870-01-29,france,2.5
1870-01-29,germany,4.5
1870-01-29,russia,5.0
1870-02-05,austria_hungary,5.0
1870-02-05,dutch,5.0
1870-02-05,france,2.5
1870-02-05,germany,4.5
1870-02-05,russia,5.0
1870-02-12,austria_hungary,5.0
1870-02-12,dutch,5.0
1870-02-12,france,2.5
1870-02-12,germany,4.5
1870-02-12,russia,5.0
1870-02-19,austria_hungary,5.0
1870-02-19,dutch,4.5
1870-02-19,france,2.0
1870-02-19,germany,3.75
1870-02-19,russia,5.0
1870-02-26,austria_hungary,5.0
1870-02-26,dutch,4.5
1870-02-26,france,2.0
1870-02-26,germany,3.75
1870-02-26,russia,5.0
1870-03-05,austria_hungary,5.0
1870-03-05,dutch,4.5
1870-03-05,france,2.0
1870-03-05,germany,3.75
1870-03-05,russia,5.0
1870-03-12,austria_hungary,5.0
1870-03-12,dutch,4.5
1870-03-12,france,2.0
1870-03-12,germany,3.75
1870-03-12,russia,5.0
1870-03-19,austria_hungary,5.0
1870-03-19,dutch,3.75
1870-03-19,france,2.0
1870-03-19,germany,3.5
1870-03-19,russia,5.0
1870-03-26,austria_hungary,5.0
1870-03-26,dutch,3.75
1870-03-26,france,2.0
1870-03-26,germany,3.5
1870-03-26,russia,5.0
1870-04-02,austria_hungary,5.0
1870-04-02,dutch,3.75
1870-04-02,france,2.0
1870-04-02,germany,3.5
1870-04-02,russia,5.0
1870-04-09,austria_hungary,5.0
1870-04-09,dutch,3.75
1870-04-09,france,2.0
1870-04-09,germany,3.5
1870-04-09,russia,5.0
1870-04-16,austria_hungary,5.0
1870-04-16,dutch,3.5
1870-04-16,france,2.0
1870-04-16,germany,3.5
1870-04-16,russia,5.0
1870-04-23,austria_hungary,5.0
1870-04-23,dutch,3.5
1870-04-23,france,2.0
1870-04-23,germany,3.5
1870-04-23,russia,5.0
1870-04-30,austria_hungary,5.0
1870-04-30,dutch,3.5
1870-04-30,france,2.25
1870-04-30,germany,3.5
1870-04-30,russia,5.0
1870-05-07,austria_hungary,5.0
1870-05-07,dutch,3.5
1870-05-07,france,2.25
1870-05-07,germany,3.5
1870-05-07,russia,6.0
1870-05-14,austria_hungary,5.0
1870-05-14,dutch,3.5
1870-05-14,france,2.25
1870-05-14,germany,3.5
1870-05-14,russia,6.0
1870-05-21,austria_hungary,5.0
1870-05-21,dutch,3.25
1870-05-21,france,2.25
1870-05-21,germany,3.5
1870-05-21,russia,6.0
1870-05-28,austria_hungary,5.0
1870-05-28,dutch,3.25
1870-05-28,france,2.25
1870-05-28,germany,3.5
1870-05-28,russia,6.0
1870-06-04,austria_hungary,5.0
1870-06-04,dutch,3.5
1870-06-04,france,2.25
1870-06-04,germany,3.5
1870-06-04,russia,5.0
1870-06-11,austria_hungary,5.0
1870-06-11,dutch,3.25
1870-06-11,france,2.25
1870-06-11,germany,3.5
1870-06-11,russia,6.0
1870-06-18,austria_hungary,5.0
1870-06-18,dutch,3.25
1870-06-18,france,2.25
1870-06-18,germany,3.0
1870-06-18,russia,6.0
1870-06-25,austria_hungary,5.0
1870-06-25,dutch,2.75
1870-06-25,france,2.25
1870-06-25,germany,3.0
1870-06-25,russia,6.0
1870-07-02,austria_hungary,6.0
1870-07-02,dutch,2.75
1870-07-02,france,2.5
1870-07-02,germany,4.0
1870-07-02,russia,6.0
1870-07-09,austria_hungary,5.0
1870-07-09,dutch,2.75
1870-07-09,france,2.5
1870-07-09,germany,3.75
1870-07-16,austria_hungary,6.0
1870-07-16,dutch,3.0
1870-07-16,france,2.5
1870-07-16,russia,6.0
1870-07-23,austria_hungary,6.0
1870-07-23,dutch,5.0
1870-07-23,france,4.0
1870-07-23,germany,8.0
1870-07-30,dutch,5.5
1870-07-30,france,4.0
1870-07-30,germany,8.0
1870-08-06,austria_hungary,6.0
1870-08-06,dutch,6.0
1870-08-06,germany,10.0
1870-08-06,russia,7.0
1870-08-13,austria_hungary,6.0
1870-08-13,dutch,6.0
1870-08-13,france,6.0
1870-08-13,germany,8.0
1870-08-20,austria_hungary,5.0
1870-08-20,dutch,5.0
1870-08-20,france,6.0
1870-08-20,germany,5.5
1870-08-20,russia,8.0
1870-08-27,austria_hungary,5.0
1870-08-27,dutch,6.0
1870-08-27,france,6.0
1870-08-27,germany,5.5
1870-08-27,russia,8.0
1870-09-03,austria_hungary,6.0
1870-09-03,dutch,5.5
1870-09-03,france,6.0
1870-09-03,germany,5.0
1870-09-03,russia,8.0
1870-09-10,dutch,5.0
1870-09-10,france,6.0
1870-09-10,germany,4.5
1870-09-10,russia,8.0
1870-09-17,austria_hungary,6.0
1870-09-17,dutch,5.25
1870-09-17,france,6.0
1870-09-17,germany,5.0
1870-09-17,russia,8.0
1870-09-24,austria_hungary,6.0
1870-09-24,dutch,4.5
1870-09-24,france,6.0
1870-09-24,germany,4.0
1870-09-24,russia,8.0
1870-10-01,austria_hungary,5.0
1870-10-01,dutch,4.0
1870-10-01,france,6.0
1870-10-01,germany,4.0
1870-10-01,russia,8.0
1870-10-08,austria_hungary,5.0
1870-10-08,dutch,4.0
1870-10-08,france,6.0
1870-10-08,germany,4.0
1870-10-08,russia,8.0
1870-10-15,austria_hungary,5.0
1870-10-15,dutch,3.75
1870-10-15,germany,4.0
1870-10-15,russia,8.0
1870-10-22,austria_hungary,5.0
1870-10-22,dutch,3.75
1870-10-22,germany,4.0
1870-10-22,russia,8.0
1870-10-29,austria_hungary,5.0
1870-10-29,dutch,3.75
1870-10-29,germany,4.0
1870-10-29,russia,8.0
1870-11-05,austria_hungary,5.0
1870-11-05,dutch,3.75
1870-11-05,germany,4.0
1870-11-05,russia,7.0
1870-11-12,russia,7.0
1870-11-19,russia,7.0
1870-11-26,russia,7.0
1870-12-03,russia,7.0
1870-12-10,russia,7.0
1870-12-17,russia,8.0
1870-12-24,russia,7.0
1870-12-31,russia,7.0
1871-01-07,austria_hungary,5.5
1871-01-07,russia,7.0
1871-01-14,russia,7.0
1871-01-21,russia,7.0
1871-01-28,russia,7.0
1871-02-04,austria_hungary,5.0
1871-02-04,dutch,3.5
1871-02-04,germany,4.0
1871-02-04,russia,8.0
1871-02-11,austria_hungary,5.0
1871-02-11,dutch,3.5
1871-02-11,germany,4.0
1871-02-11,russia,8.0
1871-02-18,austria_hungary,5.0
1871-02-18,dutch,3.0
1871-02-18,germany,4.0
1871-02-18,russia,8.0
1871-02-25,austria_hungary,5.0
1871-02-25,dutch,3.0
1871-02-25,germany,3.5
1871-02-25,russia,8.0
1871-03-04,austria_hungary,5.0
1871-03-04,dutch,3.0
1871-03-04,germany,4.0
1871-03-04,russia,8.0
1871-03-11,austria_hungary,5.0
1871-03-11,dutch,3.0
1871-03-11,germany,3.5
1871-03-11,russia,8.0
1871-03-18,austria_hungary,5.0
1871-03-18,dutch,3.0
1871-03-18,germany,3.5
1871-03-18,russia,8.0
1871-03-25,austria_hungary,5.0
1871-03-25,dutch,3.0
1871-03-25,germany,3.5
1871-03-25,russia,8.0
1871-04-01,austria_hungary,5.0
1871-04-01,dutch,3.0
1871-04-01,germany,3.5
1871-04-01,russia,8.0
1871-04-08,austria_hungary,5.0
1871-04-08,dutch,3.0
1871-04-08,germany,3.25
1871-04-08,russia,8.0
1871-04-15,austria_hungary,5.0
1871-04-15,dutch,3.0
1871-04-15,germany,3.5
1871-04-15,russia,8.0
1871-04-22,austria_hungary,5.0
1871-04-22,dutch,3.0
1871-04-22,germany,3.5
1871-04-22,russia,8.0
1871-04-29,austria_hungary,5.0
1871-04-29,dutch,3.25
1871-04-29,germany,3.5
1871-04-29,russia,6.0
1871-05-06,austria_hungary,5.0
1871-05-06,dutch,3.0
1871-05-06,germany,3.25
1871-05-06,russia,6.0
1871-05-13,austria_hungary,5.0
1871-05-13,dutch,3.0
1871-05-13,germany,3.25
1871-05-13,russia,7.0
1871-05-20,austria_hungary,5.0
1871-05-20,dutch,3.0
1871-05-20,germany,3.5
1871-05-20,russia,6.0
1871-05-27,austria_hungary,5.0
1871-05-27,dutch,3.0
1871-05-27,germany,3.5
1871-05-27,russia,8.0
1871-06-03,austria_hungary,5.0
1871-06-03,dutch,3.25
1871-06-03,germany,3.5
1871-06-03,russia,8.0
1871-06-10,austria_hungary,5.0
1871-06-10,dutch,3.25
1871-06-10,germany,3.5
1871-06-10,russia,8.0
1871-06-17,austria_hungary,5.0
1871-06-17,dutch,3.25
1871-06-17,germany,3.25
1871-06-17,russia,8.0
1871-06-24,austria_hungary,5.0
1871-06-24,dutch,3.25
1871-06-24,germany,3.25
1871-06-24,russia,8.0
1871-07-01,austria_hungary,5.0
1871-07-01,dutch,3.25
