date,series,value
1889-06-21,france,0.7021
1889-06-28,france,0.7612
1889-07-05,france,0.7845
1889-07-12,france,0.8109
1889-07-19,france,0.7916
1889-07-26,france,0.7909
1889-08-02,france,0.7553
1889-08-09,france,0.7206
1889-08-16,france,0.7524
1889-08-23,france,0.7001
1889-08-30,france,0.7057
1889-09-06,france,0.661
1889-09-13,france,0.6541
1889-09-20,france,0.6702
1889-09-27,france,0.6372
1889-10-04,france,0.608
1889-10-11,france,0.5952
1889-10-18,france,0.5864
1889-10-25,france,0.5925
1889-11-01,france,0.6093
1889-11-08,france,0.6146
1889-11-15,france,0.6028
1889-11-22,france,0.5901
1889-11-29,france,0.5986
1889-12-06,france,0.592
1889-12-13,france,0.5832
1889-12-20,france,0.5976
1889-12-27,france,0.5881
1890-01-03,france,0.5947
1890-01-03,russia,1.4769
1890-01-10,france,0.5952
1890-01-10,russia,1.4353
1890-01-17,france,0.6054
1890-01-17,russia,1.4087
1890-01-24,france,0.5881
1890-01-24,russia,1.405
1890-01-31,france,0.5859
1890-01-31,russia,1.4087
1890-02-07,france,0.5949
1890-02-07,russia,1.4106
1890-02-14,france,0.5997
1890-02-14,russia,1.442
1890-02-21,france,0.5886
1890-02-21,russia,1.4576
1890-02-28,france,0.5787
1890-02-28,russia,1.4498
1890-03-07,france,0.5715
1890-03-07,russia,1.4199
1890-03-14,france,0.559
1890-03-14,russia,1.3864
1890-03-21,france,0.5871
1890-03-21,russia,1.4163
1890-03-28,france,0.5895
1890-03-28,russia,1.4123
1890-04-04,france,0.5828
1890-04-04,russia,1.4267
1890-04-11,france,0.5711
1890-04-11,russia,1.4191
1890-04-18,france,0.5697
1890-04-18,russia,1.3767
1890-04-25,france,0.5663
1890-04-25,russia,1.3696
1890-05-02,france,0.5496
1890-05-02,russia,1.3176
1890-05-09,france,0.5597
1890-05-09,russia,1.2687
1890-05-16,france,0.5591
1890-05-16,russia,1.2383
1890-05-23,france,0.5361
1890-05-23,russia,1.245
1890-05-30,france,0.5219
1890-05-30,russia,1.2353
1890-06-06,france,0.4377
1890-06-06,russia,1.2097
1890-06-13,france,0.4174
1890-06-13,russia,1.2163
1890-06-20,france,0.4366
1890-06-20,russia,1.2398
1890-06-27,france,0.4284
1890-06-27,russia,1.2325
1890-07-04,france,0.4368
1890-07-04,russia,1.256
1890-07-11,france,0.4322
1890-07-11,russia,1.2735
1890-07-18,france,0.4163
1890-07-18,russia,1.2491
