date,series,value
1880-01-02,france,3.6855
1880-01-09,france,3.6697
1880-01-16,france,3.6832
1880-01-23,france,3.6641
1880-01-30,france,3.663
1880-02-06,france,3.6397
1880-02-13,france,3.6472
1880-02-20,france,3.6452
1880-02-27,france,3.6452
1880-03-05,france,3.632
1880-03-12,france,3.6232
1880-03-19,france,3.6243
1880-03-26,france,3.6232
1880-04-02,france,3.595
1880-04-09,france,3.5928
1880-04-16,france,3.5907
1880-04-23,france,3.5971
1880-04-30,france,3.5598
1880-05-07,france,3.5253
1880-05-14,france,3.5201
1880-05-21,france,3.5232
1880-05-28,france,3.5119
1880-06-04,france,3.4904
1880-06-11,france,3.4884
1880-06-18,france,3.4732
1880-06-25,france,3.4945
1880-07-02,france,3.516
1880-07-09,france,3.5129
1880-07-16,france,3.5242
1880-07-23,france,3.5232
1880-07-30,france,3.5492
1880-08-06,france,3.5108
1880-08-13,france,3.5088
1880-08-20,france,3.5088
1880-08-27,france,3.4965
1880-09-03,france,3.4592
1880-09-10,france,3.4513
1880-09-17,france,3.4863
1880-09-24,france,3.5026
1880-10-01,france,3.5149
1880-10-08,france,3.5367
1880-10-15,france,3.5149
1880-10-22,france,3.4985
1880-10-29,france,3.4833
1880-11-05,france,3.4894
1880-11-12,france,3.4996
1880-11-19,france,3.5108
1880-11-26,france,3.4996
1880-12-03,france,3.4934
1880-12-10,france,3.5026
1880-12-17,france,3.5273
1880-12-24,france,3.5346
1880-12-31,france,3.5336
1881-01-07,france,3.5284
1881-01-14,france,3.5263
1881-01-21,france,3.5608
1881-01-28,france,3.564
1881-02-04,france,3.5451
1881-02-11,france,3.5619
1881-02-18,france,3.5608
1881-02-25,france,3.5663
1881-03-04,france,3.5398
1881-03-11,france,3.5108
1881-03-18,france,3.5693
1881-03-25,france,3.544
1881-04-01,france,3.5651
1881-04-08,france,3.5971
1881-04-15,france,3.6036
1881-04-22,france,3.6145
1881-04-29,france,3.5907
1881-05-06,france,3.5242
1881-05-13,france,3.4975
1881-05-20,france,3.4773
1881-05-27,france,3.4793
1881-06-03,france,3.4443
1881-06-10,france,3.4572
1881-06-17,france,3.4803
1881-06-24,france,3.4783
1881-07-01,france,3.4874
1881-07-08,france,3.4843
1881-07-15,france,3.5129
1881-07-22,france,3.518
1881-07-29,france,3.5098
1881-08-05,france,3.4672
1881-08-12,france,3.4924
1881-08-19,france,3.4783
1881-08-26,france,3.4965
1881-09-02,france,3.5026
1881-09-09,france,3.4896
1881-09-16,france,3.5088
1881-09-23,france,3.5377
1881-09-30,france,3.5461
1881-10-07,france,3.56
1881-10-14,france,3.5482
1881-10-21,france,3.5821
1881-10-28,france,3.5661
1881-11-04,france,3.5222
1881-11-11,france,3.4752
1881-11-18,france,3.4803
1881-11-25,france,3.5108
1881-12-02,france,3.5336
1881-12-09,france,3.4924
1881-12-16,france,3.4803
1881-12-23,france,3.5821
1881-12-30,france,3.5778
1882-01-06,france,3.5693
1882-01-13,france,3.5629
1882-01-20,france,3.6254
1882-01-27,france,3.653
1882-02-03,france,3.6474
1882-02-10,france,3.6408
1882-02-17,france,3.6353
1882-02-24,france,3.6221
1882-03-03,france,3.5874
1882-03-10,france,3.5661
1882-03-17,france,3.6079
1882-03-24,france,3.6079
1882-03-31,france,3.6014
1882-04-07,france,3.5896
1882-04-14,france,3.5693
1882-04-21,france,3.5704
1882-04-28,france,3.5821
1882-05-05,france,3.5704
1882-05-12,france,3.5757
1882-05-19,france,3.5736
1882-05-26,france,3.5896
1882-06-02,france,3.6123
1882-06-09,france,3.6101
1882-06-16,france,3.6199
1882-06-23,france,3.6878
1882-06-30,france,3.7083
1882-07-07,france,3.698
1882-07-14,france,3.7003
1882-07-21,france,3.6799
1882-07-28,france,3.6923
1882-08-04,france,3.6832
1882-08-11,france,3.6496
1882-08-18,france,3.6353
1882-08-25,dutch,3.7879
1882-08-25,france,3.6397
1882-09-01,dutch,3.7879
1882-09-01,france,3.6331
1882-09-08,dutch,3.7879
1882-09-08,france,3.6014
1882-09-15,dutch,3.7879
1882-09-15,france,3.5993
1882-09-22,dutch,3.7879
1882-09-22,france,3.6641
1882-09-29,dutch,3.8462
1882-09-29,france,3.6619
1882-10-06,dutch,3.8462
1882-10-06,france,3.6697
1882-10-13,dutch,3.8462
1882-10-13,france,3.6753
1882-10-20,dutch,3.8462
1882-10-20,france,3.6866
1882-10-27,dutch,3.8462
1882-10-27,france,3.7244
1882-11-03,dutch,3.8462
1882-11-03,france,3.743
1882-11-10,dutch,3.7879
1882-11-10,france,3.7198
1882-11-17,dutch,3.7879
1882-11-17,france,3.757
1882-11-24,dutch,3.8462
1882-11-24,france,3.743
1882-12-01,dutch,3.7879
1882-12-01,france,3.7383
1882-12-08,dutch,3.7879
1882-12-08,france,3.7313
1882-12-15,dutch,3.7879
1882-12-15,france,3.7547
1882-12-22,dutch,3.7879
1882-12-22,france,3.7819
1882-12-29,dutch,3.7879
1882-12-29,france,3.7594
1883-01-05,dutch,3.8462
1883-01-05,france,3.7783
1883-01-12,dutch,3.8462
1883-01-12,france,3.7688
1883-01-19,dutch,3.8462
1883-01-19,france,3.7927
1883-01-26,dutch,3.8462
1883-01-26,france,3.8785
1883-02-02,dutch,3.8462
1883-02-02,france,3.8412
1883-02-09,dutch,3.8462
1883-02-09,france,3.7903
1883-02-16,dutch,3.8462
1883-02-16,france,3.7891
1883-02-23,dutch,3.9683
1883-02-23,france,3.7383
1883-03-02,dutch,3.9062
1883-03-02,france,3.6878
1883-03-09,dutch,3.8462
1883-03-09,france,3.6496
1883-03-16,dutch,3.8462
1883-03-16,france,3.6708
1883-03-23,dutch,3.8462
