domain,asking_price,source,auction_end_date,current_bid,bid_count,traffic,registrar,expiration_date,listing_type
datacentercooling.com,1800,auction,2026-08-28,1250,14,,GoDaddy,2026-09-12,auction
berlinroofing.com,425,closeout,2026-08-27,,,,GoDaddy,2026-09-10,closeout
fleetanalytics.com,3500,marketplace,,,,,Namecheap,2027-01-05,buy_now
zenpayroll.com,2400,auction,2026-08-29,1900,8,,GoDaddy,2026-09-14,auction
cloudsecurity.io,890,marketplace,,,,,Porkbun,2026-12-01,buy_now
truckinsurancequotes.com,310,closeout,2026-08-27,,,,GoDaddy,2026-09-09,closeout
dentalimplantsdallas.com,180,closeout,2026-08-26,,,,Dynadot,2026-09-05,closeout
solarpanelfinance.com,1450,auction,2026-08-30,760,5,,GoDaddy,2026-09-16,auction
harborlogistics.com,5200,marketplace,,,,,Namecheap,2027-03-22,buy_now
quantumpayroll.com,760,auction,2026-08-28,420,3,,GoDaddy,2026-09-13,auction
get-cheap-loans-4u.net,95,closeout,2026-08-27,,,,Dynadot,2026-09-08,closeout
mytruckparts.com,640,auction,2026-08-29,300,2,,GoDaddy,2026-09-15,auction
apexroofing.com,2900,marketplace,,,,,Namecheap,2027-02-11,buy_now
vetclinicsoftware.com,540,closeout,2026-08-27,,,,GoDaddy,2026-09-10,closeout
xkqzp.io,45,marketplace,,,,,Porkbun,2026-11-30,buy_now
freightaudit.com,3100,auction,2026-08-31,2200,19,,GoDaddy,2026-09-18,auction
londonwealth.com,4200,marketplace,,,,,Namecheap,2027-04-02,buy_now
coldchainlogistics.com,2750,auction,2026-08-30,1500,11,,GoDaddy,2026-09-16,auction
hvacleadgen.com,275,closeout,2026-08-26,,,,Dynadot,2026-09-06,closeout
brightpath.ai,1900,marketplace,,,,,Porkbun,2027-01-19,buy_now
seniorcareplacement.com,390,closeout,2026-08-27,,,,GoDaddy,2026-09-11,closeout
datawarehouseconsulting.com,220,closeout,2026-08-26,,,,Dynadot,2026-09-07,closeout
peakcybersecurity.com,1150,auction,2026-08-29,680,6,,GoDaddy,2026-09-14,auction
austinplumbers.com,510,marketplace,,,,,Namecheap,2026-12-20,buy_now
warehouserobotics.com,4800,marketplace,,,,,Namecheap,2027-05-08,buy_now
cfoadvisory.com,3300,auction,2026-08-31,2050,16,,GoDaddy,2026-09-19,auction
petgroomingsupply.com,165,closeout,2026-08-26,,,,Dynadot,2026-09-05,closeout
edtechplatform.com,880,auction,2026-08-28,410,4,,GoDaddy,2026-09-12,auction
nordicseafood.com,1350,marketplace,,,,,Namecheap,2027-02-27,buy_now
turbineservices.com,2100,auction,2026-08-30,1100,9,,GoDaddy,2026-09-17,auction
