date,series,value,unit,source,status,issuer_yield,benchmark_yield,fred_id,benchmark_id
1888-03-01,germany,95.00,bp,fred_nber,ok,3.6800,2.7300,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-04-01,germany,92.00,bp,fred_nber,ok,3.6700,2.7500,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-05-01,germany,89.00,bp,fred_nber,ok,3.6600,2.7700,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-06-01,germany,88.00,bp,fred_nber,ok,3.6400,2.7600,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-07-01,germany,86.00,bp,fred_nber,ok,3.6200,2.7600,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-08-01,germany,84.00,bp,fred_nber,ok,3.6100,2.7700,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-09-01,germany,81.00,bp,fred_nber,ok,3.6200,2.8100,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-10-01,germany,79.00,bp,fred_nber,ok,3.6200,2.8300,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-11-01,germany,79.00,bp,fred_nber,ok,3.6300,2.8400,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1888-12-01,germany,78.00,bp,fred_nber,ok,3.6300,2.8500,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-01-01,germany,83.00,bp,fred_nber,ok,3.6100,2.7800,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-02-01,germany,82.00,bp,fred_nber,ok,3.6000,2.7800,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-03-01,germany,78.00,bp,fred_nber,ok,3.5900,2.8100,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-04-01,germany,81.00,bp,fred_nber,ok,3.6000,2.7900,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-05-01,germany,82.00,bp,fred_nber,ok,3.6000,2.7800,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-06-01,germany,80.00,bp,fred_nber,ok,3.6000,2.8000,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-07-01,germany,81.00,bp,fred_nber,ok,3.6000,2.7900,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-08-01,germany,79.00,bp,fred_nber,ok,3.5900,2.8000,M1328ADEM193NNBR,M1341CGB40000M156NNBR
1889-09-01,germany,77.00,bp,fred_nber,ok,3.6100,2.8400,M1328ADEM193NNBR,M1341CGB40000M156NNBR
