product_id,name,mechanism,subcategory,material,width_in,depth_in,height_in,brand,color,url
8160381,Orlen Next-Gen Nuvella™ Performance Fabric Manual Reclining Sofa,standard,Motion sofas,performance,91,43,41,Ashley®,Carbon,https://www.ashleyfurniture.com/p/orlen_reclining_sofa/8160381.html
5390215,Jasperson Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Sofa,standard,Motion sofas,performance,88,43,42,Ashley®,Stone,https://www.ashleyfurniture.com/p/jasperson_power_reclining_sofa/5390215.html
3810488,Foreside Next-Gen Nuvella™ Performance Fabric Manual Reclining Sofa,standard,Motion sofas,performance,87,43,44,Signature Design by Ashley®,Charcoal,https://www.ashleyfurniture.com/p/foreside_reclining_sofa/3810488.html
5430488,Evereast Pass Manual Reclining Sofa,standard,Motion sofas,fabric,87,40,41,Ashley®,Stone,https://www.ashleyfurniture.com/p/evereast_pass_reclining_sofa/5430488.html
6880488,First Base Manual Reclining Sofa,standard,Motion sofas,leather,86,40,41,Signature Design by Ashley®,Gunmetal,https://www.ashleyfurniture.com/p/first_base_reclining_sofa/6880488.html
U1310087,Boxmere Power Leather Reclining Sofa,standard,Motion sofas,leather,84,38,39,Signature Design by Ashley®,Storm,https://www.ashleyfurniture.com/p/boxmere_power_reclining_sofa/U1310087.html
3720381,Laresview Manual Reclining Sofa,standard,Motion sofas,leather,92,42,43,Signature Design by Ashley®,Fossil,https://www.ashleyfurniture.com/p/laresview_reclining_sofa/3720381.html
9050315,Biscoe Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Sofa,standard,Motion sofas,performance,88,43,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/biscoe_power_reclining_sofa/9050315.html
U1120415,Healy Pier Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,89.25,40,42.25,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/healy_pier_power_reclining_sofa/U1120415.html
6070315,Wolfridge Dual Power Reclining Sofa,standard,Motion sofas,leather,86,42,42,Signature Design by Ashley®,Brindle,https://www.ashleyfurniture.com/p/wolfridge_power_reclining_sofa/6070315.html
6450688,Knoxlee Manual Reclining Sofa,standard,Motion sofas,leather,92,41,44,Signature Design by Ashley®,Driftwood,https://www.ashleyfurniture.com/p/knoxlee_reclining_sofa/6450688.html
5670415,Warrior Peak Dual Power Reclining Sofa,standard,Motion sofas,leather,86,40,42,Ashley®,Umber,https://www.ashleyfurniture.com/p/warrior_peak_power_reclining_sofa/5670415.html
U12300S1,Arrington 3-Piece Dual Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,111,40,42,Ashley®,Butternut,https://www.ashleyfurniture.com/p/arrington_3-piece_power_reclining_sectional/U12300S1.html
U1170088,Danemere Manual Leather Reclining Sofa,standard,Motion sofas,leather,84,40,40,Signature Design by Ashley®,Black,https://www.ashleyfurniture.com/p/danemere_reclining_sofa/U1170088.html
99201S1,Brannigan 3-Piece Dual Power Reclining Modular Sectional,standard,Motion sofas,fabric,111,43,42,Signature Design by Ashley®,Pebble,https://www.ashleyfurniture.com/p/brannigan_3-piece_power_reclining_sectional/99201S1.html
84503S2,Lantham 3-Piece Power Reclining Modular Sofa,standard,Motion sofas,fabric,126,43,39,Ashley®,Ivory,https://www.ashleyfurniture.com/p/lantham_3-piece_power_sectional_reclining_sofa/84503S2.html
9180247,Time-Piece Dual Power Reclining Sofa,standard,Motion sofas,leather,82,42,42,Signature Design by Ashley®,Earth,https://www.ashleyfurniture.com/p/time-piece_power_reclining_sofa/9180247.html
98802S1,Grafton Pike 3-Piece Dual Power Reclining Modular Sofa,standard,Motion sofas,fabric,116,40,43,Signature Design by Ashley®,Pearl/Ash,https://www.ashleyfurniture.com/p/grafton_pike_3-piece_power_reclining_sectional/98802S1.html
U10330S8,VonKurt Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,101,39,42,Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/vonkurt_3-piece_power_reclining_sofa_sectional/U10330S8.html
6320415,Stately Check Dual Power Reclining Sofa,standard,Motion sofas,leather,87,39,43,Signature Design by Ashley®,Sisal,https://www.ashleyfurniture.com/p/stately_check_power_reclining_sofa/6320415.html
8330589,Next Move Manual Reclining Sofa with Drop Down Table,standard,Motion sofas,leather,85,44,43,Signature Design by Ashley®,Coin,https://www.ashleyfurniture.com/p/next_move_reclining_sofa_with_drop_down_table/8330589.html
82305S3,Max-Media 3-Piece Dual Power Reclining Modular Sofa,standard,Motion sofas,leather,101,41,42,Signature Design by Ashley®,Biscotti,https://www.ashleyfurniture.com/p/max-media_3-piece_power_sectional_reclining_sofa/82305S3.html
U13001S5,Double Deal 3-Piece Dual Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,115,41,42.5,Signature Design by Ashley®,Almond,https://www.ashleyfurniture.com/p/double_deal_3-piece_power_reclining_sofa_sectional/U13001S5.html
84402S2,Renlee 3-Piece Power Reclining Modular Sofa,standard,Motion sofas,fabric,125,41,39,Ashley®,Twilight,https://www.ashleyfurniture.com/p/renlee_3-piece_power_sectional_reclining_sofa/84402S2.html
4220488,Moreau Place Manual Reclining Sofa,standard,Motion sofas,fabric,76,39,40,Signature Design by Ashley®,Sterling,https://www.ashleyfurniture.com/p/moreau_place_reclining_sofa/4220488.html
5400247,Overflow Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Sofa,standard,Motion sofas,performance,80,42,42,Ashley®,Steel,https://www.ashleyfurniture.com/p/overflow_power_reclining_sofa/5400247.html
U12500S2,Ashley Luxe Modero 3-Piece Reclining Leather Modular Sofa,standard,Motion sofas,leather,128,41,38,Luxe,Toffee,https://www.ashleyfurniture.com/p/modero_3-piece_power_reclining_sectional_sofa/U12500S2.html
4980215,Forest Lake Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Sofa,standard,Motion sofas,performance,86,40,42,Signature Design by Ashley®,Steel,https://www.ashleyfurniture.com/p/forest_lake_power_reclining_sofa/4980215.html
U1240015,Malcesine Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,89,41.5,42.38,Signature Design by Ashley®,Sahara,https://www.ashleyfurniture.com/p/malcesine_power_reclining_sofa/U1240015.html
U1370015A,Trendsetter Dual Power Leather Reclining Sofa with Audio Seating,standard,Motion sofas,leather,94,43,41,Signature Design by Ashley®,Ash,https://www.ashleyfurniture.com/p/trendsetter_power_reclining_sofa_with_audio_seating/U1370015A.html
U1420015,Metro Oasis Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,87,41,43,Signature Design by Ashley®,Amber,https://www.ashleyfurniture.com/p/metro_oasis_power_reclining_sofa/U1420015.html
84402S5,Renlee 3-Piece Power Reclining Sectional,standard,Motion sofas,fabric,126,42,39,Ashley®,Twilight,https://www.ashleyfurniture.com/p/renlee_3-piece_power_reclining_sectional/84402S5.html
U6450615,Beadel Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,90,44,43,Signature Design by Ashley®,Smoke,https://www.ashleyfurniture.com/p/beadel_power_reclining_sofa/U6450615.html
U1040015,VonRyan Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,92,42,42,Signature Design by Ashley®,Tobacco,https://www.ashleyfurniture.com/p/vonryan_power_reclining_sofa/U1040015.html
4470481,Boothbay Manual Reclining Sofa,standard,Motion sofas,leather,92,42,47,Signature Design by Ashley®,Auburn,https://www.ashleyfurniture.com/p/boothbay_reclining_sofa/4470481.html
U600003586,Enouvation E5 Power Pack,standard,Motion sofas,unknown,4.7,4.2,2,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e5_power_pack/U600003586.html
U92708S3,Temmpton Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,118,44,34,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/temmpton_3-piece_power_reclining_sectional_sofa/U92708S3.html
U6580147,Mountainous Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,85,42,42,Signature Design by Ashley®,Eclipse,https://www.ashleyfurniture.com/p/mountainous_power_reclining_sofa/U6580147.html
U600003585,Enouvation E5 Power Pack 3 Seat Bundle,standard,Motion sofas,unknown,78.7,0.25,0.25,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e5_power_pack_3_seat_bundle/U600003585.html
APK-U942023P,Correze 3-Piece Dual Power Leather Reclining Modular Sofa,standard,Motion sofas,leather,116.5,41,33.25,Signature Design by Ashley®,Gray,https://www.ashleyfurniture.com/p/correze_3-piece_power_reclining_sectional_sofa/APK-U942023P.html
A600030101,Enouvation E6 Wireless Power Pack for Recliners,standard,Motion sofas,unknown,5,2,5,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e6_6_motor_power_pack/A600030101.html
U12600S3,5Z-Harrenhurst 3-Piece Leather Dual Power Reclining Modular Sofa,standard,Motion sofas,leather,111,43,43,Signature Design by Ashley®,Anchor,https://www.ashleyfurniture.com/p/5z-harrenhurst_3-piece_power_sectional_reclining_sofa/U12600S3.html
4470447,Boothbay Power Reclining Sofa,standard,Motion sofas,leather,92,42,47,Signature Design by Ashley®,Auburn,https://www.ashleyfurniture.com/p/boothbay_power_reclining_sofa/4470447.html
APK-55203-S,Samperstone 3-Piece Power Reclining Modular Sofa,standard,Motion sofas,leather,113,38,41,Signature Design by Ashley®,Gray,https://www.ashleyfurniture.com/p/samperstone_3-piece_power_reclining_sectional_sofa/APK-55203-S.html
U600003584,Enouvation E5 Power Pack 2 Seat Bundle,standard,Motion sofas,unknown,78.7,0.25,0.25,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e5_power_pack_2_seat_bundle/U600003584.html
A600030311,Enouvation E6 Wireless Power Pack for Reclining Furniture with 3 Power Seats,standard,Motion sofas,unknown,5,2,5,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e6_6_motor_power_pack_bundle_1_e6_power_pack_2_e_extension_cables_2_y_splitters/A600030311.html
A600030310,Enouvation E6 Wireless Power Pack for Reclining Furniture with 2 Power Seats,standard,Motion sofas,unknown,5,2,5,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e6_6_motor_power_pack_bundle_1_e6_power_pack_2_e_extension_cables_1_y_splitter/A600030310.html
U600002594,Enouvation E10 Wireless Power Pack for Recliners (App Included),standard,Motion sofas,unknown,6.5,4.5,2,Enouvation,Black,https://www.ashleyfurniture.com/p/enouvation_e10_power_pack/U600002594.html
U2550115,Alessandro Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,95,40,41,Signature Design by Ashley®,Garnet,https://www.ashleyfurniture.com/p/alessandro_power_reclining_sofa/U2550115.html
3740688-Master,Frohn Manual Reclining Sofa,standard,Motion sofas,fabric,91,40,42,Signature Design by Ashley®,Graphite,https://www.ashleyfurniture.com/p/frohn_reclining_sofa/3740688.html
3880581-Master,Danum Manual Reclining Sofa,standard,Motion sofas,fabric,87,40,41,Signature Design by Ashley®,Stone,https://www.ashleyfurniture.com/p/danum_reclining_sofa/3880581.html
7650487-Master,Draycoll Power Reclining Sofa,standard,Motion sofas,fabric,87,40,40,Signature Design by Ashley®,Slate,https://www.ashleyfurniture.com/p/draycoll_power_reclining_sofa/7650487.html
U1160215A-Master,Dreamer Dual Power Leather Reclining Sofa with Audio Seating,standard,Motion sofas,leather,85,40.5,44.5,Signature Design by Ashley®,Brown,https://www.ashleyfurniture.com/p/dreamer_power_reclining_sofa_with_audio_seating/U1160215A.html
6330689-Master,Lavenhorne Manual Reclining Sofa with Drop Down Table,standard,Motion sofas,leather,87,42,43,Signature Design by Ashley®,Umber,https://www.ashleyfurniture.com/p/lavenhorne_reclining_sofa_with_drop_down_table/6330689.html
7650488-Master,Draycoll Manual Reclining Sofa,standard,Motion sofas,fabric,87,40,40,Signature Design by Ashley®,Slate,https://www.ashleyfurniture.com/p/draycoll_reclining_sofa/7650488.html
3990588-Master,Stoneland Manual Reclining Sofa,standard,Motion sofas,unknown,90,41,42,Signature Design by Ashley®,Fossil,https://www.ashleyfurniture.com/p/stoneland_reclining_sofa/3990588.html
5930247-Master,Next-Gen DuraPella Performance Fabric Dual Power Reclining Sofa,standard,Motion sofas,leather,80,42,42,Signature Design by Ashley®,Slate,https://www.ashleyfurniture.com/p/next-gen_durapella_power_reclining_sofa/5930147.html
9860688-Master,Tulen Manual Reclining Sofa,standard,Motion sofas,fabric,87,40,40,Signature Design by Ashley®,Gray,https://www.ashleyfurniture.com/p/tulen_reclining_sofa/9860688.html
2820188-Master,Alphons Manual Reclining Sofa,standard,Motion sofas,fabric,93,41,41,Signature Design by Ashley®,Briar,https://www.ashleyfurniture.com/p/alphons_reclining_sofa/2820288.html
2200315-Master,Next-Gen DuraPella Performance Fabric Dual Power Reclining Sofa,standard,Motion sofas,leather,86,39.5,43,Signature Design by Ashley®,Sand,https://www.ashleyfurniture.com/p/next-gen_durapella_power_reclining_sofa/2200315.html
3990487-Master,Stoneland Power Reclining Sofa,standard,Motion sofas,leather,90,41,42,Signature Design by Ashley®,Fossil,https://www.ashleyfurniture.com/p/stoneland_power_reclining_sofa/3990587.html
U2710415-Master,Boyington Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,86,40,44.5,Ashley®,Caramel,https://www.ashleyfurniture.com/p/boyington_power_reclining_sofa/U2710415.html
U62606S1-Master,Silverbrooke 3-Piece Leather Dual Power Reclining Modular Sofa,standard,Motion sofas,leather,130,40,43,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/silverbrooke_3-piece_power_reclining_sectional/U62606S1.html
8350415-Master,Ultimax Dual Power Reclining Sofa,standard,Motion sofas,leather,87,43,41,Signature Design by Ashley®,Shadow,https://www.ashleyfurniture.com/p/ultimax_power_reclining_sofa/8350515.html
U10700S9-Master,Rally-Up 3-Piece Dual Power Leather Reclining Modular Sectional Sofa,standard,Motion sofas,leather,116,40,34,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/rally-up_3-piece_power_reclining_sectional_sofa/U10700S9.html
U1090015-Master,5Z-Relaxation Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,89,41,43,Signature Design by Ashley®,Coin,https://www.ashleyfurniture.com/p/5z-relaxation_power_reclining_sofa/U1090015.html
65906S1-Master,ModMax II 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sofa,standard,Motion sofas,performance,118,42,42,Signature Design by Ashley®,Salt and Pepper,https://www.ashleyfurniture.com/p/modmax_ii_3-piece_power_reclining_sectional/65906S1.html
3660215-Master,Fyne-Dyme Dual Power Reclining Sofa,standard,Motion sofas,leather,85,43,43,Signature Design by Ashley®,Shadow,https://www.ashleyfurniture.com/p/fyne-dyme_power_reclining_sofa/3660215.html
93605S6-Master,Acklen Place 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sectional,standard,Motion sofas,performance,115,71,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/acklen_place_3-piece_power_reclining_sectional/93605S6.html
U1210015-Master,Momentum Moves Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,88,40,42,Ashley®,Amber,https://www.ashleyfurniture.com/p/momentum_moves_power_reclining_sofa/U1210115.html
92706S8-Master,Top Tier 3-Piece Manual Reclining Modular Sofa,standard,Motion sofas,fabric,128,40,41,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/top_tier_3-piece_reclining_sectional_sofa/92705S8.html
4280499-Master,Technique Power Reclining Sofa with Drop Down Table,standard,Motion sofas,fabric,91,44,48,Signature Design by Ashley®,Onyx,https://www.ashleyfurniture.com/p/technique_power_reclining_sofa_with_drop_down_table/4280599.html
2140599-Master,Greely Bend Power Reclining Sofa with Drop Down Table,standard,Motion sofas,fabric,85,40,41,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/greely_bend_power_reclining_sofa_with_drop_down_table/2140699.html
92706S6-Master,Top Tier 3-Piece Manual Reclining Modular Sectional Sofa Chaise,standard,Motion sofas,fabric,128,74,41,Signature Design by Ashley®,Alloy,https://www.ashleyfurniture.com/p/top_tier_3-piece_reclining_sectional_sofa_chaise/92706S6.html
U4380887-Master,Leesworth Power Reclining Leather Sofa,standard,Motion sofas,leather,88,41,41,Signature Design by Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/leesworth_power_reclining_sofa/U4380887.html
U62606S22-Master,Silverbrooke 3-Piece Leather Dual Power Reclining Modular Sectional with Chaise,standard,Motion sofas,leather,130,64,43,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/silverbrooke_3-piece_reclining_sofa_chaise/U62606S22.html
5420488-Master,Next-Gen Gaucho Manual Reclining Sofa,standard,Motion sofas,leather,93,41,43,Signature Design by Ashley®,Putty,https://www.ashleyfurniture.com/p/next-gen_gaucho_reclining_sofa/5420388.html
U6260647-Master,Silverbrooke Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,92,43,42,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/silverbrooke_power_reclining_sofa/U6260647.html
U10330S9-Master,VonKurt 3-Piece Power Leather Reclining Modular Sofa Chaise,standard,Motion sofas,leather,101,71,42,Ashley®,Dark Brown,https://www.ashleyfurniture.com/p/vonkurt_3-piece_reclining_sofa_chaise/U10330S9.html
9140589-Master,Tarrant Manual Reclining Sofa with Drop Down Table,standard,Motion sofas,fabric,86,40,40,Signature Design by Ashley®,Mocha,https://www.ashleyfurniture.com/p/tarrant_reclining_sofa_with_drop_down_table/9140589.html
93605S18-Master,Acklen Place 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sofa,standard,Motion sofas,performance,115,42,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/acklen_place_3-piece_power_reclining_sectional_sofa/93605S18.html
U1200015-Master,Beryton Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,85,41,43,Signature Design by Ashley®,Espresso,https://www.ashleyfurniture.com/p/beryton_power_reclining_sofa/U1200115.html
U6600015-Master,Mosswell Dual Power Leather Reclining Sofa,standard,Motion sofas,leather,85.25,39.75,42,Ashley®,Toffee,https://www.ashleyfurniture.com/p/mosswell_power_reclining_sofa/U6600015.html
3860588-Master,Kanlow Manual Reclining Sofa,standard,Motion sofas,fabric,86,40,40,Signature Design by Ashley®,Honey,https://www.ashleyfurniture.com/p/kanlow_reclining_sofa/3860588.html
6420215-Master,TwinBrooke Dual Power Reclining Sofa,standard,Motion sofas,fabric,89,44,42,Signature Design by Ashley®,Black,https://www.ashleyfurniture.com/p/twinbrooke_power_reclining_sofa/6420215.html
65906S22-Master,ModMax II 3-Piece Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Modular Sofa Chaise,standard,Motion sofas,performance,118,66,42,Signature Design by Ashley®,Salt and Pepper,https://www.ashleyfurniture.com/p/modmax_ii_3-piece_reclining_sofa_chaise/65906S22.html
U62606S4-Master,Silverbrooke 3-Piece Leather Dual Power Reclining Modular Sectional with Chaise and Console,standard,Motion sofas,leather,107,64,43,Signature Design by Ashley®,Caramel,https://www.ashleyfurniture.com/p/silverbrooke_3-piece_power_reclining_sectional_with_chaise/U62606S4.html
8160394,Orlen Next-Gen Nuvella™ Performance Fabric Manual Reclining Loveseat with Console,standard,Motion sofas,performance,80,43,41,Ashley®,Carbon,https://www.ashleyfurniture.com/p/orlen_reclining_loveseat_with_console/8160394.html
5390218,Jasperson Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Loveseat with Console,standard,Motion sofas,performance,78,43,42,Ashley®,Stone,https://www.ashleyfurniture.com/p/jasperson_power_reclining_loveseat_with_console/5390218.html
5430494,Evereast Pass Manual Reclining Loveseat with Console,standard,Motion sofas,fabric,76,40,41,Ashley®,Stone,https://www.ashleyfurniture.com/p/evereast_pass_reclining_loveseat_with_console/5430494.html
6880486,First Base Manual Reclining Loveseat,standard,Motion sofas,leather,61,40,41,Signature Design by Ashley®,Gunmetal,https://www.ashleyfurniture.com/p/first_base_reclining_loveseat/6880486.html
3810494,Foreside Next-Gen Nuvella™ Performance Fabric Manual Loveseat with Console,standard,Motion sofas,performance,76,43,44,Signature Design by Ashley®,Charcoal,https://www.ashleyfurniture.com/p/foreside_reclining_loveseat_with_console/3810494.html
3720394,Laresview Manual Reclining Loveseat with Console,standard,Motion sofas,leather,81,42,43,Signature Design by Ashley®,Fossil,https://www.ashleyfurniture.com/p/laresview_reclining_loveseat_with_console/3720394.html
98802S21,Grafton Pike 2-Piece Dual Power Reclining Modular Loveseat,standard,Motion sofas,fabric,84,40,43,Signature Design by Ashley®,Pearl/Ash,https://www.ashleyfurniture.com/p/grafton_pike_2-piece_reclining_loveseat/98802S21.html
U1310096,Boxmere Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,75,38,39,Signature Design by Ashley®,Storm,https://www.ashleyfurniture.com/p/boxmere_power_reclining_loveseat_with_console/U1310096.html
6450694,Knoxlee Manual Reclining Loveseat with Console,standard,Motion sofas,leather,82,41,44,Signature Design by Ashley®,Driftwood,https://www.ashleyfurniture.com/p/knoxlee_reclining_loveseat_with_console/6450694.html
9050318,Biscoe Next-Gen Nuvella™ Performance Fabric Dual Power Reclining Loveseat with Console,standard,Motion sofas,performance,78,43,42,Signature Design by Ashley®,Pewter,https://www.ashleyfurniture.com/p/biscoe_power_reclining_loveseat_with_console/9050318.html
U1120418,Healy Pier Dual Power Leather Reclining Loveseat with Console,standard,Motion sofas,leather,78,40,42.25,Signature Design by Ashley®,Chocolate,https://www.ashleyfurniture.com/p/healy_pier_power_reclining_loveseat_with_console/U1120418.html
6070318,Wolfridge Dual Power Reclining Loveseat,standard,Motion sofas,leather,75,42,42,Signature Design by Ashley®,Brindle,https://www.ashleyfurniture.com/p/wolfridge_power_reclining_loveseat/6070318.html
U12300S21,Arrington 2-Piece Dual Power Leather Reclining Modular Loveseat,standard,Motion sofas,leather,78,40,42,Ashley®,Butternut,https://www.ashleyfurniture.com/p/arrington_2-piece_power_reclining_loveseat/U12300S21.html
82305S1,Max-Media 2-Piece Dual Power Reclining Modular Sectional Loveseat,standard,Motion sofas,leather,72,41,42,Signature Design by Ashley®,Biscotti,https://www.ashleyfurniture.com/p/max-media_2-piece_power_reclining_sectional_loveseat/82305S1.html
99201S21,Brannigan 2-Piece Dual Power Reclining Modular Loveseat,standard,Motion sofas,fabric,80,43,42,Signature Design by Ashley®,Pebble,https://www.ashleyfurniture.com/p/brannigan_2-piece_reclining_loveseat/99201S21.html
U13001S3,Double Deal 2-Piece Dual Power Leather Reclining Modular Loveseat,standard,Motion sofas,leather,82.75,41,42.5,Signature Design by Ashley®,Almond,https://www.ashleyfurniture.com/p/double_deal_2-piece_power_reclining_loveseat_sectional/U13001S3.html
84503S1,Lantham 2-Piece Power Reclining Modular Loveseat,standard,Motion sofas,fabric,90,43,39,Ashley®,Ivory,https://www.ashleyfurniture.com/p/lantham_2-piece_power_reclining_sectional_loveseat/84503S1.html
U13001S4,Double Deal 3-Piece Dual Power Leather Reclining Modular Loveseat with Console,standard,Motion sofas,leather,96,41,42.5,Signature Design by Ashley®,Almond,https://www.ashleyfurniture.com/p/double_deal_3-piece_power_reclining_loveseat_sectional_with_console/U13001S4.html
5670418,Warrior Peak Dual Power Reclining Loveseat with Console,standard,Motion sofas,leather,75,40,42,Ashley®,Umber,https://www.ashleyfurniture.com/p/warrior_peak_power_reclining_loveseat_with_console/5670418.html
4220494,Moreau Place Manual Reclining Loveseat with Console,standard,Motion sofas,fabric,67,39,40,Signature Design by Ashley®,Sterling,https://www.ashleyfurniture.com/p/moreau_place_reclining_loveseat_with_console/4220494.html
84402S1,Renlee 2-Piece Power Reclining Modular Loveseat,standard,Motion sofas,fabric,90,41,39,Ashley®,Twilight,https://www.ashleyfurniture.com/p/renlee_2-piece_power_reclining_sectional_loveseat/84402S1.html
6320418,Stately Check Dual Power Reclining Loveseat with Console,standard,Motion sofas,leather,76,39,43,Signature Design by Ashley®,Sisal,https://www.ashleyfurniture.com/p/stately_check_power_reclining_loveseat_with_console/6320418.html
