product_id,name,mechanism,subcategory,material,price,width_in,depth_in,height_in,features,url,first_seen,last_seen
1210312,4Z-Serenity Zone Performance Fabric Triple Power Lift Recliner,lift,Recliners,performance,1699.99,36.5 in.,39.25 in.,44.75 in.,,https://www.ashleyfurniture.com/p/4z-serenity_zone_power_lift_recliner/1210312.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1090013,5Z-Relaxation Dual Power Leather Recliner,standard,Recliners,leather,1999.99,41.38 in.,41 in.,43 in.,,https://www.ashleyfurniture.com/p/5z-relaxation_power_recliner/U1090013.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1090213,5Z-Relaxation Dual Power Leather Recliner,standard,Recliners,leather,1999.99,41.38 in.,41 in.,43 in.,,https://www.ashleyfurniture.com/p/5z-relaxation_power_recliner/U1090213.html,2026-07-19T20:17:17,2026-07-19T20:17:17
9360582,Acklen Place Next-Gen Nuvella™ Performance Fabric Dual Power Oversized Recliner,standard,Recliners,performance,999.99,52 in.,42 in.,42 in.,,https://www.ashleyfurniture.com/p/acklen_place_oversized_power_recliner/9360582.html,2026-07-19T10:47:01,2026-08-21T08:47:03
A3000738,Alainmont Next-Gen Nuvella™ Performance Fabric Power Swivel Recliner,glider,Recliners,performance,799.99,44 in.,38.5 in.,43 in.,,https://www.ashleyfurniture.com/p/alainmont_next-gen_nuvella_swivel_power_recliner/A3000738.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U2550113,Alessandro Oversized Dual Power Leather Recliner,standard,Recliners,leather,749.99,48 in.,40 in.,41 in.,,https://www.ashleyfurniture.com/p/alessandro_power_recliner/U2550113.html,2026-07-19T11:24:42,2026-08-21T08:47:03
2820125,Alphons Manual Rocker Recliner,rocker,Recliners,unknown,549.99,39 in.,41 in.,41 in.,,https://www.ashleyfurniture.com/p/alphons_recliner/2820125.html,2026-07-19T11:24:42,2026-08-21T08:47:03
8721325,Altari Manual Recliner,standard,Recliners,unknown,529.99,34 in.,39 in.,40 in.,,https://www.ashleyfurniture.com/p/altari_recliner/8721325.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600001794,AmaMedic Hilux 4D Massage Chair,standard,Recliners,unknown,8999.0,31.8 in.,62.2 in.,47.6 in.,,https://www.ashleyfurniture.com/p/amamedic_amamedic_hilux_4d_massage_chair/U600001794.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600003967,Amamedic Revive Massage Chair,standard,Recliners,performance,3499.0,31.5 in.,66.5 in.,48 in.,,https://www.ashleyfurniture.com/p/amamedic_revive_massage_chair/U600003967.html,2026-07-19T11:24:42,2026-08-17T08:12:28
1790212,Aureta Next-Gen Nuvella™ Performance Fabric Power Lift Recliner,lift,Recliners,performance,849.99,39 in.,43 in.,41 in.,,https://www.ashleyfurniture.com/p/aureta_power_lift_recliner/1790212.html,2026-07-19T11:24:42,2026-08-21T08:47:03
2430325,Aviemore Manual Recliner,standard,Recliners,unknown,429.99,34 in.,39 in.,40 in.,,https://www.ashleyfurniture.com/p/aviemore_recliner/2430325.html,2026-07-19T13:17:13,2026-08-21T08:47:03
B600001006,Baby Relax Mikayla Swivel Glider Nursery Recliner,glider,Nursery Gliders,unknown,529.99,29.25 in.,37 in.,41.5 in.,,https://www.ashleyfurniture.com/p/baby_relax_mikayla_nursery_swivel_glider_recliner_chair/B600001006.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600001846,Baby Relax Robyn Glider Recliner,glider,Nursery Gliders,unknown,449.99,29.5 in.,37.5 in.,40.25 in.,,https://www.ashleyfurniture.com/p/atwater_living_billie_rocker_recliner/U600001846.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600009722,Baby Relax Rylan Swivel Glider Nursery Recliner,glider,Nursery Gliders,unknown,499.99,32 in.,38.5 in.,39 in.,,https://www.ashleyfurniture.com/p/baby_relax_rufus_swivel_glider_nursery_recliner/B600009722.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012570,Baby Relax Terrin Swivel Manual Recliner,glider,Nursery Gliders,unknown,465.99,34 in.,36 in.,39.5 in.,,https://www.ashleyfurniture.com/p/baby_relax_terrin_swivel_manual_recliner/B600012570.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600009716,Baby Relax Tiana Swivel Gliding Nursery Recliner,glider,Nursery Gliders,unknown,363.99,35.5 in.,36.5 in.,39.5 in.,,https://www.ashleyfurniture.com/p/baby_relax_mabel_swivel_gliding_nursery_recliner/B600009716.html,2026-07-19T11:24:42,2026-08-21T08:47:03
3320298,Barnsana Power Recliner,standard,Clearance Furniture,unknown,549.99,39 in.,41 in.,40 in.,,https://www.ashleyfurniture.com/p/barnsana_power_recliner/3320298.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U6450613,Beadel Dual Power Leather Recliner,standard,Recliners,leather,1199.99,42 in.,44 in.,43 in.,,https://www.ashleyfurniture.com/p/beadel_power_recliner/U6450613.html,2026-07-19T11:24:42,2026-08-18T08:53:53
U1200013,Beryton Dual Power Leather Recliner,standard,Recliners,leather,1199.99,38 in.,41 in.,43 in.,,https://www.ashleyfurniture.com/p/beryton_power_recliner/U1200013.html,2026-07-19T11:24:42,2026-08-21T08:47:03
9050313,Biscoe Next-Gen Nuvella™ Next-Gen Nuvella™ Performance Fabric Dual Power Recliner,standard,Recliners,performance,949.99,41 in.,43 in.,42 in.,,https://www.ashleyfurniture.com/p/biscoe_power_recliner/9050313.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6030529,Bladewood Manual Recliner,standard,Recliners,unknown,399.99,33 in.,40 in.,40 in.,,https://www.ashleyfurniture.com/p/bladewood_recliner/6030529.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5560325,Bolsena Manual Leather Recliner,standard,Recliners,leather,799.99,35 in.,40 in.,38 in.,,https://www.ashleyfurniture.com/p/bolsena_recliner/5560325.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1310098,Boxmere Power Leather Recliner,standard,Recliners,leather,699.99,37 in.,38 in.,39 in.,,https://www.ashleyfurniture.com/p/boxmere_power_recliner/U1310098.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U2710413,Boyington Dual Power Leather Recliner,standard,Recliners,leather,1699.99,38.25 in.,40 in.,44.5 in.,,https://www.ashleyfurniture.com/p/boyington_power_recliner/U2710413.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U2710613,Boyington Dual Power Leather Recliner,standard,Recliners,leather,1699.99,38.25 in.,40 in.,44.5 in.,,https://www.ashleyfurniture.com/p/boyington_power_recliner/U2710613.html,2026-07-19T20:17:17,2026-07-19T20:17:17
U2710513,Boyington Dual Power Leather Recliner,standard,Recliners,leather,1699.99,38.25 in.,40 in.,44.5 in.,,https://www.ashleyfurniture.com/p/boyington_power_recliner/U2710513.html,2026-07-19T20:17:17,2026-07-19T20:17:17
9970525,Bristaview Manual Rocker Recliner,rocker,Recliners,unknown,339.99,35 in.,40 in.,38 in.,,https://www.ashleyfurniture.com/p/bristaview_recliner/9970525.html,2026-07-19T11:24:42,2026-08-21T08:47:03
6570729,Camera Time Oversized Manual Recliner,standard,Recliners,unknown,649.99,45 in.,43 in.,47 in.,,https://www.ashleyfurniture.com/p/camera_time_recliner/6570729.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600010434,Carter's by DaVinci Ethan Swivel Recliner,glider,Nursery Gliders,unknown,499.0,34 in.,37.75 in.,40.5 in.,,https://www.ashleyfurniture.com/p/carters_by_davinci_ethan_swivel_recliner/B600010434.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600002268,Carter's by Davinci Arlo Swivel Recliner Glider,glider,Nursery Gliders,unknown,599.0,29 in.,38 in.,41.5 in.,,https://www.ashleyfurniture.com/p/carters_by_davinci_carters_by_davinci_arlo_swivel_recliner_glider/B600002268.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012573,Carter's by daVinci Arlo Manual Recliner,standard,Nursery Gliders,unknown,649.0,29 in.,38 in.,41.5 in.,,https://www.ashleyfurniture.com/p/carters_by_davinci_arlo_manual_recliner/B600012573.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012429,Carter's by daVinci Arlo Manual Swivel Recliner,glider,Nursery Gliders,unknown,649.0,29 in.,38 in.,41.5 in.,,https://www.ashleyfurniture.com/p/carters_by_davinci_arlo_manual_swivel_recliner/B600012429.html,2026-07-19T11:24:42,2026-08-21T08:47:03
8680315P,Chalmers Power Gliding Chaise,glider,Chaise Lounge,unknown,899.99,50 in.,48 in.,44 in.,,https://www.ashleyfurniture.com/p/chalmers_power_gliding_chaise/8680315P.html,2026-07-19T11:24:42,2026-08-21T08:47:03
5210725,Colleton Manual Leather Recliner,standard,Recliners,leather,799.99,41 in.,43 in.,41 in.,,https://www.ashleyfurniture.com/p/colleton_recliner/5210725.html,2026-07-19T11:24:42,2026-08-21T08:47:03
8240612,Created Comfort Power Lift Recliner,lift,Recliners,unknown,899.99,46 in.,44 in.,42 in.,,https://www.ashleyfurniture.com/p/created_comfort_power_lift_recliner/8240612.html,2026-07-19T11:24:42,2026-08-21T08:47:03
1350312,Crestmeade Power Lift Recliner,lift,Recliners,unknown,749.99,35 in.,40 in.,42 in.,,https://www.ashleyfurniture.com/p/crestmeade_power_lift_recliner/1350312.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011610,DaVinci Maddox Leather Swivel Glider and Recliner,glider,Nursery Gliders,leather,499.0,28.75 in.,37 in.,42 in.,,https://www.ashleyfurniture.com/p/davinci_maddox_leather_swivel_glider_and_recliner/B600011610.html,2026-07-19T13:17:13,2026-08-21T08:47:03
B600011391,DaVinci Piper Recliner and Swivel Glider,glider,Nursery Gliders,unknown,349.0,30.5 in.,34 in.,39.5 in.,,https://www.ashleyfurniture.com/p/davinci_piper_recliner_and_swivel_glider/B600011391.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600012554,DaVinci Suzy Flex Manual Swivel Glider Recliner,glider,Nursery Gliders,unknown,409.9,34 in.,37 in.,41 in.,,https://www.ashleyfurniture.com/p/davinci_suzy_flex_manual_swivel_glider_recliner/B600012554.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011602,DaVinci Suzy Power Swivel Glider and Recliner,glider,Nursery Gliders,unknown,599.0,34 in.,36.25 in.,41 in.,,https://www.ashleyfurniture.com/p/davinci_suzy_power_swivel_glider_and_recliner/B600011602.html,2026-07-19T13:17:13,2026-08-21T08:47:03
B600010458,DaVinci Suzy Swivel Glider Recliner,glider,Nursery Gliders,unknown,399.0,34 in.,36 in.,40.5 in.,,https://www.ashleyfurniture.com/p/davinci_suzy_swivel_glider_recliner/B600010458.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1320098,Dahlmoore Power Leather Recliner,standard,Recliners,leather,1099.99,39 in.,42 in.,40 in.,,https://www.ashleyfurniture.com/p/dahlmoore_power_recliner/U1320098.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U1170025,Danemere Manual Leather Recliner,standard,Recliners,leather,799.99,37 in.,40 in.,40 in.,,https://www.ashleyfurniture.com/p/danemere_recliner/U1170025.html,2026-07-18T23:07:25,2026-08-21T08:47:03
3880529,Danum Manual Recliner,standard,Recliners,unknown,549.99,39 in.,40 in.,41 in.,,https://www.ashleyfurniture.com/p/danum_recliner/3880529.html,2026-07-19T13:17:13,2026-08-21T08:47:03
7500525,Darcy Manual Recliner,standard,Recliners,unknown,469.99,33 in.,42 in.,42 in.,,https://www.ashleyfurniture.com/p/darcy_recliner/7500525.html,2026-07-19T10:47:01,2026-08-21T08:47:03
B600011334,Delta Children Mercer Electronic Power Recliner and Swivel Glider,glider,Nursery Gliders,unknown,493.99,26.5 in.,34.75 in.,38.5 in.,,https://www.ashleyfurniture.com/p/delta_children_mercer_electronic_power_recliner_and_swivel_glider/B600011334.html,2026-07-19T11:24:42,2026-08-21T08:47:03
B600011336,Delta Children Nest Nursery Swivel Recliner,glider,Nursery Gliders,unknown,494.99,29.25 in.,35.5 in.,42.5 in.,,https://www.ashleyfurniture.com/p/delta_children_nest_nursery_swivel_recliner/B600011336.html,2026-07-19T11:24:42,2026-08-21T08:47:03
U600001391,Docker Manual Push Back Recliner,standard,Labor Day Living Room Furniture Sale 2026,unknown,370.99,34 in.,34.5 in.,41.5 in.,,https://www.ashleyfurniture.com/p/madison_park_kirby_push_back_recliner/U600001391.html,2026-07-19T11:24:42,2026-08-18T08:53:53
