retailer,brand,vendor_raw,title,sku,form,motion,power,material,price,list_price,discount_pct,url
slumberland,La-Z-Boy,La-Z-Boy,Trouper Power Plus Reclining Console Loveseat,QK1064415,Loveseat,Motion,Power,Unspecified,2599.99,4399.99,40.9,https://www.slumberland.com/products/trouper-power-plus-reclining-console-loveseat-1
slumberland,La-Z-Boy,La-Z-Boy,Trouper Power Plus Reclining Loveseat,QK1064414,Loveseat,Motion,Power,Unspecified,2479.99,4279.99,42.1,https://www.slumberland.com/products/trouper-power-plus-reclining-loveseat-1
slumberland,Ashley,Ashley Furniture,Cambeck Panel Storage Bed,QK1085564,Other,Stationary,,Unspecified,599.99,1609.99,62.7,https://www.slumberland.com/products/cambeck-panel-storage-bed-1
slumberland,Ashley,Ashley Furniture,Valebeck Backless Swivel Counter Stool,QK1107502,Chair,Stationary,,Unspecified,149.99,219.99,31.8,https://www.slumberland.com/products/valebeck-backless-swivel-counter-stool
slumberland,Ashley,Ashley Furniture,Robbinsdale Upholstered Swivel Counter Stool,QK1107504,Chair,Stationary,,Unspecified,169.99,319.99,46.9,https://www.slumberland.com/products/robbinsdale-upholstered-swivel-counter-stool
slumberland,Ashley,Ashley Furniture,Robbinsdale Upholstered Swivel Open Back Counter Stool,QK1107503,Chair,Stationary,,Unspecified,159.99,229.99,30.4,https://www.slumberland.com/products/robbinsdale-upholstered-swivel-open-back-counter-stool
slumberland,Ashley,Ashley Furniture,Modmax 6 Piece Left Storage Chaise Sectional,QK1107344,Sectional,Stationary,,Fabric,2799.99,3649.99,23.3,https://www.slumberland.com/products/modmax-6-piece-left-storage-chaise-sectional
slumberland,Ashley,Ashley Furniture,Haddigan Swivel Counter Stool,QK1107505,Chair,Stationary,,Unspecified,159.99,299.99,46.7,https://www.slumberland.com/products/haddigan-swivel-counter-stool
slumberland,Ashley,Ashley Furniture,Gibbswellner Arc Lamp,QK1106227,Other,Stationary,,Unspecified,249.99,549.99,54.5,https://www.slumberland.com/products/gibbswellner-arc-lamp
slumberland,Ashley,Ashley Furniture,Frankwell Bookcase,QK1059639,Other,Stationary,,Unspecified,299.99,599.99,50.0,https://www.slumberland.com/products/frankwell-bookcase
slumberland,Ashley,Ashley Furniture,Forestmin Bookcase,QK1085792,Other,Stationary,,Unspecified,449.99,1049.99,57.1,https://www.slumberland.com/products/forestmin-bookcase
slumberland,Ashley,Ashley Furniture,Drystan Panel Storage Bed,QK1085661,Other,Stationary,,Unspecified,449.99,1089.99,58.7,https://www.slumberland.com/products/drystan-panel-storage-bed-1
slumberland,Ashley,Ashley Furniture,Culverbach Mirror,7069859,Other,Stationary,,Unspecified,99.99,169.99,41.2,https://www.slumberland.com/products/culverbach-mirror
