model,form,drive,lzb_title,lzb_base,lzb_top_cover,dealer,dealer_title,dealer_price,dealer_list,vs_lzb_base_pct
bennett,Sofa,Power,Bennett duo® Reclining Sofa,3479.0,8599.0,slumberland,Bennett DUO Reclining Sofa,2599.99,5029.99,-25.3
brooks,Recliner,Manual,Brooks Rocking Recliner,1059.0,1479.0,slumberland,Brooks Rocker Recliner,649.99,1199.99,-38.6
brooks,Sofa,Manual,Brooks Reclining Sofa,999.0,2859.0,slumberland,Brooks Reclining Sofa,999.99,2399.99,0.1
collage,Recliner,Manual,Collage Rocking Recliner,499.0,499.0,slumberland,Collage Rocker Recliner,399.99,999.0,-19.8
james,Recliner,Manual,James Rocking Recliner,1209.0,2319.0,slumberland,James Rocker Recliner,599.99,1349.99,-50.4
james,Sofa,Manual,James Reclining Sofa,1799.0,4189.0,slumberland,James Reclining Sofa,1599.99,2399.99,-11.1
jasper,Recliner,Manual,Jasper Rocking Recliner,1059.0,1059.0,slumberland,Jasper Rocker Recliner,649.99,1079.99,-38.6
jasper,Recliner,Manual,Jasper Rocking Recliner,1059.0,1059.0,steinhafels,Jasper Rocker Recliner,729.99,811.1,-31.1
jay,Sofa,Manual,Jay Reclining Sofa,2199.0,3049.0,slumberland,Jay Reclining Sofa,1399.99,2399.99,-36.3
jean,Recliner,Power,Jean Bronze Power Lift Recliner,799.0,1259.0,slumberland,Jean Power Lift Recliner,849.99,1349.0,6.4
jean,Recliner,Power,Jean Bronze Power Lift Recliner,799.0,1259.0,steinhafels,Jean Lift Chair,929.99,1033.32,16.4
joshua,Recliner,Manual,Joshua Rocking Recliner,799.0,799.0,slumberland,Joshua Rocker Recliner,699.99,1298.99,-12.4
liam,Recliner,Manual,Liam Rocking Recliner,599.0,599.0,slumberland,Liam Wall Recliner,679.99,1199.0,13.5
liam,Recliner,Manual,Liam Rocking Recliner,599.0,599.0,slumberland,Liam Rocker Recliner,629.99,1079.99,5.2
liam,Recliner,Power,Liam Bronze Power Lift Recliner,1469.0,1959.0,slumberland,Liam Power Lift Recliner,1099.99,2249.99,-25.1
morrison,Recliner,Manual,Morrison Rocking Recliner,1059.0,1569.0,slumberland,Morrison Rocker Recliner,629.99,1079.99,-40.5
norton,Recliner,Manual,Norton Rocking Recliner,1049.0,1049.0,slumberland,Norton Rocker Recliner,599.99,1199.99,-42.8
norton,Recliner,Manual,Norton Rocking Recliner,1049.0,1049.0,steinhafels,Norton Rocker Recliner,659.99,733.32,-37.1
pinnacle,Recliner,Manual,Pinnacle Rocking Recliner,599.0,599.0,slumberland,Pinnacle Wall Recliner,849.99,1349.99,41.9
pinnacle,Recliner,Manual,Pinnacle Rocking Recliner,599.0,599.0,slumberland,Pinnacle Rocker Recliner,749.99,1199.99,25.2
pinnacle,Recliner,Manual,Pinnacle Rocking Recliner,599.0,599.0,steinhafels,Pinnacle Rocker Recliner,899.99,999.99,50.2
pinnacle,Sofa,Manual,Pinnacle Wall Reclining Sofa,2399.0,2399.0,slumberland,Pinnacle Reclining Sofa,1799.99,3439.99,-25.0
randell,Recliner,Manual,Randell Rocking Recliner,1759.0,2359.0,slumberland,Randell Rocker Recliner,1099.99,1599.99,-37.5
scarlett,Recliner,Manual,Scarlett High Leg Reclining Chair,599.0,2579.0,slumberland,Scarlett High Leg Reclining Chair,729.99,1389.0,21.9
trouper,Recliner,Manual,Trouper Rocking Recliner,699.0,699.0,slumberland,Trouper Rocker Recliner,749.99,1349.99,7.3
trouper,Sofa,Manual,Trouper Reclining Sofa,2659.0,2699.0,slumberland,Trouper Reclining Sofa,1899.99,2999.99,-28.5
vail,Recliner,Manual,Vail Rocking Recliner,989.0,989.0,slumberland,Vail Rocker Recliner,499.99,1129.0,-49.4
