product,cat,key,mn_min_cover,mn_max_cover,mn_covers,mn_now,mn_was,on_promo
Astor Rocking Recliner,Recliners,astor|Recliner|Manual,1189.0,1539.0,5,1189.0,1699.0,Y
Ava Rocking Recliner,Recliners,ava|Recliner|Manual,799.0,1199.0,7,799.0,1299.0,Y
Bennett duo® Reclining Loveseat,Motion sofas,bennett|Loveseat|Power,2579.0,4649.0,6,2579.0,3679.0,Y
Bennett duo® Reclining Sofa,Motion sofas,bennett|Sofa|Power,2589.0,4659.0,7,2589.0,3699.0,Y
Brooks Reclining Loveseat,Motion sofas,brooks|Loveseat|Manual,1319.0,2019.0,7,1319.0,1879.0,Y
Brooks Reclining Sofa,Motion sofas,brooks|Sofa|Manual,1329.0,2029.0,7,1329.0,1899.0,Y
Collage Rocking Recliner,Recliners,collage|Recliner|Manual,299.0,299.0,5,299.0,799.0,Y
Dorian Reclining Loveseat,Motion sofas,dorian|Loveseat|Manual,1779.0,2509.0,6,1779.0,2879.0,Y
Dorian Rocking Recliner,Recliners,dorian|Recliner|Manual,899.0,1259.0,6,899.0,1399.0,Y
Dorian Reclining Sofa,Motion sofas,dorian|Sofa|Manual,1799.0,2519.0,6,1799.0,2899.0,Y
James Reclining Loveseat,Motion sofas,james|Loveseat|Manual,1479.0,2229.0,7,1479.0,2379.0,Y
James Rocking Recliner,Recliners,james|Recliner|Manual,699.0,1119.0,7,699.0,1199.0,Y
James Reclining Sofa,Motion sofas,james|Sofa|Manual,1499.0,2239.0,7,1499.0,2399.0,Y
Jasper Rocking Recliner,Recliners,jasper|Recliner|Manual,769.0,769.0,7,769.0,1099.0,Y
Jay Reclining Loveseat,Motion sofas,jay|Loveseat|Manual,1479.0,2229.0,7,1479.0,2179.0,Y
Jay Rocking Recliner,Recliners,jay|Recliner|Manual,699.0,1119.0,7,699.0,1299.0,Y
Jay Reclining Sofa,Motion sofas,jay|Sofa|Manual,1499.0,2239.0,7,1499.0,2199.0,Y
Jean Bronze Power Lift Recliner,Recliners,jean|Recliner|Power,1049.0,1049.0,6,1049.0,1499.0,Y
Joshua Rocking Recliner,Recliners,joshua|Recliner|Manual,699.0,699.0,3,699.0,1599.0,Y
Liam Rocking Recliner,Recliners,liam|Recliner|Manual,399.0,1119.0,7,399.0,799.0,Y
Liam Bronze Power Lift Recliner,Recliners,liam|Recliner|Power,1399.0,1399.0,5,1399.0,1899.0,Y
Morrison Rocking Recliner,Recliners,morrison|Recliner|Manual,769.0,1049.0,7,769.0,1099.0,Y
Morrison Reclining Sofa,Motion sofas,morrison|Sofa|Manual,1399.0,2099.0,7,1399.0,1999.0,Y
Norton Rocking Recliner,Recliners,norton|Recliner|Manual,399.0,559.0,7,399.0,799.0,Y
Pinnacle Rocking Recliner,Recliners,pinnacle|Recliner|Manual,909.0,909.0,7,909.0,1299.0,Y
Pinnacle Platinum Power Lift Recliner,Recliners,pinnacle|Recliner|Power,1959.0,2379.0,7,1959.0,2799.0,Y
Pinnacle Wall Reclining Sofa,Motion sofas,pinnacle|Sofa|Manual,1749.0,1749.0,7,1749.0,2499.0,Y
Randell Rocking Recliner,Recliners,randell|Recliner|Manual,1259.0,1539.0,7,1259.0,1799.0,Y
Rheeves High Leg Reclining Chair,Recliners,rheeves|Recliner|Manual,1299.0,1439.0,5,1299.0,1849.0,Y
Riley High Leg Reclining Chair,Recliners,riley|Recliner|Manual,1349.0,1489.0,5,1349.0,1919.0,Y
Rowan Wall Recliner,Recliners,rowan|Recliner|Manual,979.0,979.0,4,979.0,1399.0,Y
Scarlett High Leg Reclining Chair,Recliners,scarlett|Recliner|Manual,899.0,1449.0,6,899.0,1279.0,Y
Trouper Rocking Recliner,Recliners,trouper|Recliner|Manual,909.0,909.0,7,909.0,1299.0,Y
Trouper Reclining Sofa,Motion sofas,trouper|Sofa|Manual,2029.0,2029.0,7,2029.0,2899.0,Y
Vail Rocking Recliner,Recliners,vail|Recliner|Manual,559.0,559.0,6,559.0,799.0,Y
