zone,stores,representative_store_id,representative_location,Pinnacle_Rocking_Recliner,Jasper_Rocking_Recliner,Brooks_Reclining_Sofa,Trouper_Reclining_Sofa,all_locations
1,201,02111415,"Lacey, WA",1189,1049,1329,2029,"Alexandria, VA; Algonquin, IL; Altamonte Sprgs, FL; Amherst, NY; Ann Arbor, MI; Annapolis, MD; Appleton, WI; Aurora, CO; Barboursville, WV; Baton Rouge, LA; Beavercreek, OH; Bel Air, MD; Bellingham, WA; Bloomington, IL; Boardman, OH; Boca Raton, FL; Bradenton, FL; Brookfield, CT; Canton, MI; Canton, OH; Carle Place, NY; Cedar Rapids, IA; Centennial, CO; Cerritos, CA; Champaign, IL; Chattanooga, TN; Cherry Hill, NJ; Chesapeake, VA; Chicago, IL; Cincinnati, OH; Cocoa, FL; Colorado Springs, CO; Columbia, MD; Columbus, OH; Costa Mesa, CA; Cranberry Twp, PA; Cuyahoga Falls, OH; Davenport, IA; Denver, CO; Dover, NJ; Downers Grove, IL; Draper, UT; Duarte, CA; Dublin, OH; Edina, MN; Egg Harbor Twp, NJ; Evansville, IN; Exton, PA; Fairfax, VA; Farmingdale, NY; Fayetteville, NC; Florence, KY; Fort Collins, CO; Fort Lauderdale, FL; Fredericksburg, VA; Gainesville, FL; Gainesville, VA; Glenview, IL; Grand Rapids, MI; Green Bay, WI; Greenfield, WI; Grove City, OH; Gulfport, MS; Gurnee, IL; Harrisburg, PA; Hartsdale, NY; Henderson, NV; Hoover, AL; Huntsville, AL; Issaquah, WA; Jensen Beach, FL; Johnstown, CO; Kansas City, MO; Kenosha, WI; Kildeer, IL; Lacey, WA; Lafayette, IN; Lafayette, LA; Lake Orion, MI; Lancaster, PA; Langhorne, PA; Lansing, MI; Las Vegas, NV; Longmont, CO; Loveland, OH; Manchester, MO; Maple Grove, MN; Marlton, NJ; Mechanicsburg, PA; Melbourne, FL; Mentor, OH; Merrillville, IN; Middletown, NY; Midlothian, VA; Milford, CT; Mishawaka, IN; Mission Viejo, CA; Mobile, AL; Monroeville, PA; Montgomery, AL; Montgomeryville, PA; Morgantown, WV; Myrtle Beach, SC; Naperville, IL; Nashua, NH; Natick, MA; Newark, DE; Newington, CT; Newington, NH; Newport News, VA; North Dartmouth, MA; North Olmsted, OH; North Plainfield, NJ; Novi, MI; Oceanside, CA; Ocoee, FL; Ofallon, IL; Ofallon, MO; Ontario, CA; Orem, UT; Orland Park, IL; Orlando, FL; Overland Park, KS; Owings Mills, MD; Oxnard, CA; Palm Beach Gardens, FL; Paramus, NJ; Patchogue, NY; Pembroke Pines, FL; Pensacola, FL; Peoria, IL; Pittsburgh, PA; Plymouth, MA; Port Charlotte, FL; Portage, MI; Rancho Mirage, CA; Richland, WA; Richmond, VA; Ridgeland, MS; Riverdale, UT; Rockford, IL; Rockville, MD; Saint Louis, MO; San Bernardino, CA; San Diego, CA; San Marcos, CA; Sandusky, OH; Sarasota, FL; Saugus, MA; Schaumburg, IL; Scranton, PA; Setauket, NY; Severn, MD; Silverdale, WA; South Elgin, IL; South Windsor, CT; Spanish Fort, AL; Spokane, WA; Springfield, IL; Springfield, MA; Springfield, PA; St. Cloud, MN; Sterling Heights, MI; Sterling, VA; Strongsville, OH; Tacoma, WA; Taylor, MI; Temecula, CA; Thornton, CO; Toledo, OH; Topeka, KS; Torrance, CA; Towson, MD; Troy, MI; Tukwila, WA; Tuscaloosa, AL; Virginia Beach, VA; Waldorf, MD; Warwick, RI; Wauwatosa, WI; Wayne, NJ; West Carrollton, OH; West Hills, CA; Westminster, CO; Whitehall, PA; Wichita, KS; Wilkes Barre, PA; Wilmington, NC; Woodbridge, VA; Woodbury, MN; Wyomissing, PA; Yorba Linda, CA; York, PA"
2,26,02228344,"Lake Charles, LA",1059,859,1599,2319,"Allen, TX; Arlington, TX; Austin, TX; Beaumont, TX; Cedar Park, TX; College Station, TX; El Paso, TX; Farmers Branch, TX; Fort Worth, TX; Frisco, TX; Grapevine, TX; Houston, TX; Humble, TX; Lake Charles, LA; Longview, TX; Midland, TX; Rockwall, TX; Round Rock, TX; Shreveport, LA; Sugar Land, TX; The Woodlands, TX; Tomball, TX; Tyler, TX; Waco, TX; Webster, TX"
3,19,02050873,"Modesto, CA",1549,1059,2339,2659,"Bakersfield, CA; Chico, CA; Corte Madera, CA; Elk Grove, CA; Emeryville, CA; Fairfield, CA; Fresno, CA; Modesto, CA; Pleasant Hill, CA; Pleasanton, CA; Rancho Cordova, CA; Redding, CA; Roseville, CA; S San Francisco, CA; Sacramento, CA; San Jose, CA; Union City, CA; Visalia, CA"
4,11,02098288,"Mcdonough, GA",1499,1319,2309,2839,"Alpharetta, GA; Buford, GA; Cumming, GA; Fleming Island, FL; Jacksonville, FL; Kennesaw, GA; Knoxville, TN; Lawrenceville, GA; Mcdonough, GA; Newnan, GA"
5,11,02838206,"Tucson, AZ",1399,1249,1429,2179,"Chandler, AZ; Gilbert, AZ; Glendale, AZ; Goodyear, AZ; Mesa, AZ; Prescott Valley, AZ; Queen Creek, AZ; Scottsdale, AZ; Tucson, AZ"
6,8,02433062,"Beaverton, OR",1409,749,1519,3069,"Beaverton, OR; Bend, OR; Eugene, OR; Happy Valley, OR; Phoenix, OR; Portland, OR; Salem, OR; Tualatin, OR"
7,8,02540955,"Charlotte, NC",1449,1279,2339,3279,"Asheville, NC; Charlotte, NC; Evans, GA; Greenville, SC; Lexington, SC; N Charleston, SC; Pineville, NC; Pooler, GA"
8,7,02392661,"Lutz, FL",1159,1019,1259,1819,"Clearwater, FL; Fort Myers, FL; Lutz, FL; Naples, FL; New Port Richey, FL; Tampa, FL"
9,6,02828507,"New Braunfels, TX",999,749,1959,2839,"Corpus Christi, TX; Mcallen, TX; New Braunfels, TX; San Antonio, TX"
10,3,02542416,"Freehold, NJ",929,779,1499,2099,"Brick, NJ; Freehold, NJ; Monmouth Jct, NJ"
11,3,47102012,"Indianapolis, IN",1699,1499,2739,3839,"Indianapolis, IN"
12,3,50852354,"Raleigh, NC",1259,899,1499,1799,"Cary, NC; Raleigh, NC"
13,3,50856502,"Franklin, TN",1179,959,999,2579,"Franklin, TN; Hendersonville, TN; Murfreesboro, TN"
14,3,50859188,"Latham, NY",1189,1059,1719,2359,"Clay, NY; Latham, NY; Victor, NY"
15,2,02853668,"Albuquerque, NM",979,769,1609,2169,"Albuquerque, NM"
16,2,50852699,"Winston Salem, NC",1599,1399,2299,3099,"Greensboro, NC; Winston Salem, NC"
17,2,50859307,"Little Rock, AR",829,599,1199,1799,"Little Rock, AR; Memphis, TN"
18,2,50860798,"Lubbock, TX",989,799,1499,1969,"Amarillo, TX; Lubbock, TX"
19,1,48206016,"Fort Wayne, IN",789,639,1149,1729,"Fort Wayne, IN"
20,1,50851055,"Boise, ID",989,799,1489,1999,"Boise, ID"
21,1,50854836,"Springfield, MO",769,629,1159,1679,"Springfield, MO"
22,1,50855884,"Madison, WI",1349,1199,2199,3079,"Madison, WI"
23,1,50856464,"Ocala, FL",829,669,1249,2899,"Ocala, FL"
24,1,50860275,"Columbus, GA",1229,799,1299,2209,"Columbus, GA"
25,1,50861174,"Louisville, KY",1019,899,1649,1889,"Louisville, KY"
26,1,50861336,"Springdale, AR",1129,909,1699,2459,"Springdale, AR"
27,1,50869160,"Scarborough, ME",1419,1249,2279,3199,"Scarborough, ME"
28,1,50870263,"Lexington, KY",1069,939,1709,2029,"Lexington, KY"
29,1,50876392,"Manchester, NH",829,669,1249,1799,"Manchester, NH"
30,1,77382056,"Anchorage, AK",1509,1219,2279,3289,"Anchorage, AK"
