store_id,location,now_price,was_price,on_promo,vs_modal_pct
02513057,"Langley, BC",2589,,N,+118
50856227,"Richmond, BC",2589,,N,+118
50856537,"Coquitlam, BC",2589,,N,+118
50859773,"North Vancouver, BC",2589,,N,+118
50856588,"Kelowna, BC",2149,,N,+81
02394310,"Barrie, ON",2029,,N,+71
02500016,"Mississauga, ON",2029,,N,+71
02909783,"St. Catharines, ON",2029,,N,+71
03098876,"Etobicoke, ON",2029,,N,+71
50855867,"London, ON",2029,,N,+71
50857789,"Scarborough, ON",2029,,N,+71
50857797,"Concord, ON",2029,,N,+71
50859048,"Burlington, ON",2029,,N,+71
50859277,"Kitchener, ON",2029,,N,+71
50859668,"East Gwillimbury, ON",2029,,N,+71
50861352,"Whitby, ON",2029,,N,+71
50861719,"Mississauga, ON",2029,,N,+71
50856529,"Halifax, NS",1959,,N,+65
02100760,"Nanaimo, BC",1849,,N,+56
34179038,"Victoria, BC",1849,,N,+56
34179046,"Courtenay, BC",1849,,N,+56
47102012,"Indianapolis, IN",1699,,N,+43
47102039,"Indianapolis, IN",1699,,N,+43
50857037,"Indianapolis, IN",1699,,N,+43
50852699,"Winston Salem, NC",1599,,N,+34
50861387,"Greensboro, NC",1599,,N,+34
50850016,"Edmonton, AB",1589,,N,+34
50850059,"Edmonton, AB",1589,,N,+34
02050873,"Modesto, CA",1549,,N,+30
02362537,"Visalia, CA",1549,,N,+30
50825569,"Pleasanton, CA",1549,,N,+30
50869639,"San Jose, CA",1549,,N,+30
50869648,"Sacramento, CA",1549,,N,+30
50869876,"Pleasant Hill, CA",1549,,N,+30
50870157,"S San Francisco, CA",1549,,N,+30
50870255,"Rancho Cordova, CA",1549,,N,+30
50870289,"Corte Madera, CA",1549,,N,+30
50870298,"Roseville, CA",1549,,N,+30
50870408,"Union City, CA",1549,,N,+30
50870505,"Emeryville, CA",1549,,N,+30
50870600,"Redding, CA",1549,,N,+30
50870603,"Chico, CA",1549,,N,+30
50870629,"Fresno, CA",1549,,N,+30
50870696,"San Jose, CA",1549,,N,+30
50870718,"Bakersfield, CA",1549,,N,+30
50870726,"Fairfield, CA",1549,,N,+30
50876296,"Elk Grove, CA",1549,,N,+30
03357516,"Gatineau, QC",1529,,N,+29
50856154,"Gloucester, ON",1529,,N,+29
50857738,"Kingston, ON",1529,,N,+29
50860917,"Kanata, ON",1529,,N,+29
50861328,"Ottawa, ON",1529,,N,+29
77382056,"Anchorage, AK",1509,2319,Y,+27
02098288,"Mcdonough, GA",1499,2129,Y,+26
02329988,"Knoxville, TN",1499,2129,Y,+26
02373731,"Alpharetta, GA",1499,2129,Y,+26
03067878,"Cumming, GA",1499,2129,Y,+26
03257955,"Newnan, GA",1499,2129,Y,+26
50857649,"Buford, GA",1499,2129,Y,+26
50859358,"Jacksonville, FL",1499,2129,Y,+26
50859854,"Fleming Island, FL",1499,2129,Y,+26
50859943,"Kennesaw, GA",1499,2129,Y,+26
50860879,"Lawrenceville, GA",1499,2129,Y,+26
50861344,"Jacksonville, FL",1499,2129,Y,+26
03061074,"Calgary, AB",1459,2079,Y,+23
03253655,"Saskatoon, SK",1459,2079,Y,+23
20186037,"Calgary, AB",1459,2079,Y,+23
20186053,"Rocky View, AB",1459,2079,Y,+23
50841084,"Winnipeg, MB",1459,2079,Y,+23
01533053,"Kirkland, QC",1449,1689,Y,+22
01533088,"Saint Hubert, QC",1449,1689,Y,+22
01533096,"Laval, QC",1449,1689,Y,+22
02540955,"Charlotte, NC",1449,,N,+22
50851802,"Lexington, SC",1449,,N,+22
50854194,"Greenville, SC",1449,,N,+22
50855468,"Pineville, NC",1449,,N,+22
50857975,"Evans, GA",1449,,N,+22
50861395,"N Charleston, SC",1449,,N,+22
50861603,"Pooler, GA",1449,,N,+22
50861646,"Asheville, NC",1449,,N,+22
50869160,"Scarborough, ME",1419,,N,+19
02433062,"Beaverton, OR",1409,,N,+19
50855743,"Bend, OR",1409,,N,+19
50858025,"Happy Valley, OR",1409,,N,+19
50858033,"Tualatin, OR",1409,,N,+19
50858092,"Salem, OR",1409,,N,+19
50858114,"Portland, OR",1409,,N,+19
50858556,"Phoenix, OR",1409,,N,+19
50860003,"Eugene, OR",1409,,N,+19
02838206,"Tucson, AZ",1399,1859,Y,+18
03297651,"Queen Creek, AZ",1399,1859,Y,+18
03447578,"Gilbert, AZ",1399,1859,Y,+18
50855727,"Scottsdale, AZ",1399,1859,Y,+18
50858076,"Mesa, AZ",1399,1859,Y,+18
50870114,"Glendale, AZ",1399,1859,Y,+18
50870467,"Chandler, AZ",1399,1859,Y,+18
50870548,"Goodyear, AZ",1399,1859,Y,+18
50870556,"Tucson, AZ",1399,1859,Y,+18
50870572,"Tucson, AZ",1399,1859,Y,+18
50870734,"Prescott Valley, AZ",1399,1859,Y,+18
50855884,"Madison, WI",1349,,N,+13
50852354,"Raleigh, NC",1259,1799,Y,+6
50857615,"Raleigh, NC",1259,1799,Y,+6
50860674,"Cary, NC",1259,1799,Y,+6
50860275,"Columbus, GA",1229,1749,Y,+3
02111415,"Lacey, WA",1189,1699,Y,+0
02118118,"North Dartmouth, MA",1189,1699,Y,+0
02206086,"Riverdale, UT",1189,1699,Y,+0
02206108,"Draper, UT",1189,1699,Y,+0
02241524,"Spokane, WA",1189,1699,Y,+0
02255923,"Colorado Springs, CO",1189,1699,Y,+0
02388462,"Evansville, IN",1189,1699,Y,+0
