product,cat,key,Wauwatosa,Wauwatosa_promo,Madison,Madison_promo
Astor Rocking Recliner,Recliners,astor|Recliner|Manual,1189.0,Y,1619.0,N
Cade Rocking Recliner,Recliners,cade|Recliner|Manual,499.0,Y,1169.0,N
Cade Reclining Sofa,Motion sofas,cade|Sofa|Manual,1299.0,Y,2279.0,N
James Rocking Recliner,Recliners,james|Recliner|Manual,699.0,Y,1329.0,N
Jasper Rocking Recliner,Recliners,jasper|Recliner|Manual,769.0,Y,1199.0,N
Jay Rocking Recliner,Recliners,jay|Recliner|Manual,699.0,Y,1199.0,N
Morrison Rocking Recliner,Recliners,morrison|Recliner|Manual,769.0,Y,1199.0,N
Norton Rocking Recliner,Recliners,norton|Recliner|Manual,399.0,Y,1039.0,N
Pinnacle Rocking Recliner,Recliners,pinnacle|Recliner|Manual,909.0,Y,1349.0,N
Rheeves High Leg Reclining Chair,Recliners,rheeves|Recliner|Manual,1299.0,Y,1519.0,N
Trouper Rocking Recliner,Recliners,trouper|Recliner|Manual,909.0,Y,1329.0,N
