retailer,brand,sku,product,variant,form,material,price,list_price,discount_pct,available,peer_n,price_pctile,role,tees_up_n,tees_up_brands,cheaper_competitors
steinhafels,Flexsteel,459PKG708,Flexsteel Harbor 2-Pc. Fully Loaded Reclining Loveseat With Heat and Massage,Default Title,Sectional,Leather,3311.09,3678.99,10.0,Y,816,46.0,Mid-ladder,83,Drew & Jonathan Home(16); [CHRS](12); [MOTO](9); [MNDC](7); Jackson/Catnapper(6); Ashley(6); Jonathan Louis(5); [SILI](5); [KUKA](4); [SYNG](3); La-Z-Boy(3); [LINV](3); [MWHM](2); [VIOL](1); [FUSN](1),375
steinhafels,Flexsteel,134PKG172,Hank Leather 2-Pc. Fully Loaded Zero Gravity Reclining Loveseat,946-70 Burnt Umber,Sectional,Leather,3239.09,3598.99,10.0,Y,816,45.1,Mid-ladder,79,Drew & Jonathan Home(16); [CHRS](11); [MOTO](8); Jackson/Catnapper(6); [MNDC](6); [SILI](6); [KUKA](5); Ashley(5); Jonathan Louis(4); [SYNG](3); La-Z-Boy(3); [LINV](2); [MWHM](2); [VIOL](1); [FUSN](1),368
steinhafels,Flexsteel,418PKG622,Flexsteel Landon 2-Pc. Leather Fully Loaded Zero Gravity Reclining Loveseat,Homerun Dark Brown,Sectional,Leather,3239.09,3598.99,10.0,Y,816,45.1,Mid-ladder,79,Drew & Jonathan Home(16); [CHRS](11); [MOTO](8); Jackson/Catnapper(6); [MNDC](6); [SILI](6); [KUKA](5); Ashley(5); Jonathan Louis(4); [SYNG](3); La-Z-Boy(3); [LINV](2); [MWHM](2); [VIOL](1); [FUSN](1),368
steinhafels,Flexsteel,188PKG893,Flexsteel Landon 2-Pc. Leather Fully Loaded Zero Gravity Reclining Loveseat,Homerun Charcoal,Sectional,Leather,3239.09,3598.99,10.0,Y,816,45.1,Mid-ladder,79,Drew & Jonathan Home(16); [CHRS](11); [MOTO](8); Jackson/Catnapper(6); [MNDC](6); [SILI](6); [KUKA](5); Ashley(5); Jonathan Louis(4); [SYNG](3); La-Z-Boy(3); [LINV](2); [MWHM](2); [VIOL](1); [FUSN](1),368
steinhafels,Flexsteel,794PKG825,Hank Leather 2-Pc. Fully Loaded Zero Gravity Reclining Loveseat,946-00 Black,Sectional,Leather,3598.99,3598.99,,Y,816,53.3,Mid-ladder,68,Drew & Jonathan Home(16); [MOTO](12); [CHRS](7); Ashley(5); Jonathan Louis(5); [LINV](3); Jackson/Catnapper(3); [SILI](3); [KUKA](2); La-Z-Boy(2); [ELRN](2); [MNDC](2); [TURQ](2); [SYNG](2); [VIOL](1); [MWHM](1),435
steinhafels,Flexsteel,943PKG828,Flexsteel Landon 2-Pc. Leather Fully Loaded Zero Gravity Reclining Loveseat,Homerun Caramel,Sectional,Leather,3598.99,3598.99,,Y,816,53.3,Mid-ladder,68,Drew & Jonathan Home(16); [MOTO](12); [CHRS](7); Ashley(5); Jonathan Louis(5); [LINV](3); Jackson/Catnapper(3); [SILI](3); [KUKA](2); La-Z-Boy(2); [ELRN](2); [MNDC](2); [TURQ](2); [SYNG](2); [VIOL](1); [MWHM](1),435
steinhafels,Flexsteel,117PKG418,Hank Leather 3-Pc. Fully Loaded Zero Gravity Reclining Console Loveseat,946-00 Black,Sectional,Leather,3723.29,4136.99,10.0,Y,816,56.4,Mid-ladder,67,Drew & Jonathan Home(17); [MOTO](12); Jackson/Catnapper(5); [CHRS](5); [LINV](4); Ashley(4); Jonathan Louis(4); [KUKA](2); La-Z-Boy(2); [ELRN](2); [MNDC](2); [SYNG](2); [TURQ](2); [SILI](2); [HOMC](1); [VIOL](1),460
steinhafels,Flexsteel,266PKG279,Flexsteel Landon 3-Pc. Leather Fully Loaded Zero Gravity Reclining Sofa,Homerun Caramel,Sectional,Leather,3725.09,4138.99,10.0,Y,816,56.4,Mid-ladder,67,Drew & Jonathan Home(17); [MOTO](12); Jackson/Catnapper(5); [CHRS](5); [LINV](4); Ashley(4); Jonathan Louis(4); [KUKA](2); La-Z-Boy(2); [ELRN](2); [MNDC](2); [SYNG](2); [TURQ](2); [SILI](2); [HOMC](1); [VIOL](1),460
steinhafels,Flexsteel,190PKG425,Flexsteel Landon 3-Pc. Leather Fully Loaded Zero Gravity Reclining Sofa,Homerun Charcoal,Sectional,Leather,3725.09,4138.99,10.0,Y,816,56.4,Mid-ladder,67,Drew & Jonathan Home(17); [MOTO](12); Jackson/Catnapper(5); [CHRS](5); [LINV](4); Ashley(4); Jonathan Louis(4); [KUKA](2); La-Z-Boy(2); [ELRN](2); [MNDC](2); [SYNG](2); [TURQ](2); [SILI](2); [HOMC](1); [VIOL](1),460
steinhafels,Flexsteel,290PKG669,Flexsteel Harbor 3-Pc. Fully Loaded Reclining Console Loveseat With Heat and Massage,Default Title,Sectional,Leather,3833.09,4258.99,10.0,Y,816,58.9,Mid-ladder,62,Drew & Jonathan Home(16); [MOTO](12); [CHRS](7); Jackson/Catnapper(6); [LINV](3); Jonathan Louis(3); Ashley(3); [ELRN](2); [TURQ](2); [MNDC](2); [SYNG](1); [HOMC](1); La-Z-Boy(1); [KUKA](1); [VIOL](1); [SILI](1),481
steinhafels,Flexsteel,773PKG630,Hank Leather 3-Pc. Fully Loaded Zero Gravity Reclining Console Loveseat,946-70 Burnt Umber,Sectional,Leather,4136.99,4136.99,,Y,816,65.8,Mid-ladder,58,Drew & Jonathan Home(13); [MOTO](10); [CHRS](8); [TURQ](5); [LINV](4); Jackson/Catnapper(4); Jonathan Louis(3); [ELRN](2); [KUKA](2); Ashley(2); [SYNG](1); [HOMC](1); La-Z-Boy(1); [SILI](1); [MNDC](1),537
