retailer,brand,sku,product,variant,form,material,price,list_price,discount_pct,available,peer_n,price_pctile,role,tees_up_n,tees_up_brands,cheaper_competitors
steinhafels,La-Z-Boy,207PKG523,Ava 5-Pc. Power Headrest Reclining Modular With Wireless Remote,Left-Facing,Sectional,Unspecified,3302.99,5533.33,40.3,Y,843,43.9,Mid-ladder,86,Drew & Jonathan Home(16); [CHRS](12); [MOTO](9); [MNDC](7); Flexsteel(6); Jackson/Catnapper(6); [SILI](6); Jonathan Louis(5); Ashley(5); [KUKA](4); [LINV](3); [SYNG](3); [MWHM](2); [FUSN](1); [VIOL](1),370
steinhafels,La-Z-Boy,302PKG221,Ava 5-Pc. Power Headrest Reclining Modular With Wireless Remote,Right-Facing,Sectional,Unspecified,3302.99,5533.33,40.3,Y,843,43.9,Mid-ladder,86,Drew & Jonathan Home(16); [CHRS](12); [MOTO](9); [MNDC](7); Flexsteel(6); Jackson/Catnapper(6); [SILI](6); Jonathan Louis(5); Ashley(5); [KUKA](4); [LINV](3); [SYNG](3); [MWHM](2); [FUSN](1); [VIOL](1),370
steinhafels,La-Z-Boy,853PKG577,Ava 6-Pc. Power Headrest Reclining Modular With Wireless Remote,Default Title,Sectional,Unspecified,3488.39,5839.94,40.3,Y,843,49.8,Mid-ladder,75,Drew & Jonathan Home(15); [MOTO](9); Flexsteel(9); [CHRS](8); Jonathan Louis(5); Ashley(5); [MNDC](4); [SILI](4); [LINV](4); Jackson/Catnapper(3); [KUKA](2); [SYNG](2); [TURQ](1); [MWHM](1); [ELRN](1); [VIOL](1); [FUSN](1),420
steinhafels,La-Z-Boy,375PKG657,Ava 6-Pc. Power Headrest Reclining Chaise Modular With Wireless Remote,Right-Facing / 2 Reclining Seats,Sectional,Unspecified,3697.19,6193.32,40.3,Y,843,53.5,Mid-ladder,73,Drew & Jonathan Home(17); [MOTO](12); Flexsteel(7); Jackson/Catnapper(5); [CHRS](5); Jonathan Louis(4); Ashley(4); [LINV](4); [SILI](3); [KUKA](2); [TURQ](2); [MNDC](2); [ELRN](2); [SYNG](2); [VIOL](1); [HOMC](1),451
steinhafels,La-Z-Boy,639PKG980,Ava 6-Pc. Power Headrest Reclining Chaise Modular With Wireless Remote,Left-Facing / 2 Reclining Seats,Sectional,Unspecified,3704.39,6193.32,40.2,Y,843,54.1,Mid-ladder,72,Drew & Jonathan Home(17); [MOTO](12); Flexsteel(7); Jackson/Catnapper(5); [CHRS](5); Jonathan Louis(4); Ashley(4); [LINV](4); [KUKA](2); [TURQ](2); [MNDC](2); [ELRN](2); [SILI](2); [SYNG](2); [VIOL](1); [HOMC](1),456
steinhafels,La-Z-Boy,491ZPKG41,Ava 6-Pc. Power Headrest Reclining Chaise Modular With Wireless Remote,Right-Facing / 3 Reclining Seats,Sectional,Unspecified,3759.99,6333.32,40.6,Y,843,55.2,Mid-ladder,71,Drew & Jonathan Home(17); [MOTO](12); Flexsteel(7); Jackson/Catnapper(5); [CHRS](5); Jonathan Louis(4); Ashley(4); [LINV](4); [KUKA](2); [TURQ](2); [MNDC](2); [ELRN](2); [SYNG](2); [SILI](1); [VIOL](1); [HOMC](1),465
steinhafels,La-Z-Boy,481QPKG32,Ava 6-Pc. Power Headrest Reclining Chaise Modular With Wireless Remote,Left-Facing / 3 Reclining Seats,Sectional,Unspecified,3759.99,6333.32,40.6,Y,843,55.2,Mid-ladder,71,Drew & Jonathan Home(17); [MOTO](12); Flexsteel(7); Jackson/Catnapper(5); [CHRS](5); Jonathan Louis(4); Ashley(4); [LINV](4); [KUKA](2); [TURQ](2); [MNDC](2); [ELRN](2); [SYNG](2); [SILI](1); [VIOL](1); [HOMC](1),465
steinhafels,La-Z-Boy,869PKG031,Ava 3-Pc. Power Headrest Reclining Chaise Sofa,Right-Facing,Sectional,Unspecified,2229.29,3733.35,40.3,Y,843,21.9,Opening price point,68,[CHRS](14); [MOTO](12); Jackson/Catnapper(7); Drew & Jonathan Home(5); [TURQ](5); [KUKA](4); Ashley(4); [WASH](4); [MNDC](3); Jonathan Louis(3); [SILI](2); [FRKL](2); [LINV](1); [SYNG](1); Natuzzi(1),185
steinhafels,La-Z-Boy,867PKG192,Ava 3-Pc. Power Headrest Reclining Chaise Sofa,Left-Facing,Sectional,Unspecified,2229.29,3733.35,40.3,Y,843,21.9,Opening price point,68,[CHRS](14); [MOTO](12); Jackson/Catnapper(7); Drew & Jonathan Home(5); [TURQ](5); [KUKA](4); Ashley(4); [WASH](4); [MNDC](3); Jonathan Louis(3); [SILI](2); [FRKL](2); [LINV](1); [SYNG](1); Natuzzi(1),185
steinhafels,La-Z-Boy,831PKG201,Ava 3-Pc. Power Headrest Reclining Console Loveseat,Default Title,Sectional,Unspecified,2104.19,3519.97,40.2,Y,843,19.5,Opening price point,65,[CHRS](15); [MOTO](14); Drew & Jonathan Home(5); Jackson/Catnapper(5); [KUKA](4); [TURQ](4); [SYNG](3); Ashley(3); Jonathan Louis(3); [LINV](2); [MNDC](2); [WASH](2); [SILI](1); Natuzzi(1); [FRKL](1),164
