state,zip,store_id,store_address,county,geo,whole_milk,milk_2pct,milk_1pct,milk_fatfree,pct_black,pct_white,pct_hisp,median_income,population,class_I_diff_cwt
,28563,7218,2915 Neuse Blvd,,,3.02,,,,,,,,,
AK,99503,2070,3101 A St,Anchorage Municipality,rural,4.98,4.98,4.98,4.98,10.0,46.0,6.9,72958.0,12620,
AK,99504,4359,7405 Debarr Road,Anchorage Municipality,urban,4.98,4.98,4.98,4.98,10.0,44.7,9.1,80267.0,40938,
AK,99515,2071,8900 Old Seward Hwy,Anchorage Municipality,urban,4.98,4.98,4.98,4.98,1.9,59.2,10.0,110613.0,21629,
AK,99577,2188,"18600 Eagle River Rd, Eagle River, AK 99577",Anchorage Municipality,rural,4.98,4.98,4.98,4.98,2.7,76.0,8.2,131993.0,28124,
AK,99611,4474,"10096 Kenai Spur Hwy, Kenai, AK 99611",Kenai Peninsula Borough,rural,4.98,4.98,4.98,4.98,0.6,69.9,6.5,72608.0,15188,
AK,99654,2074,"1350 S Seward Meridian Pkwy, Wasilla, AK 99654",Matanuska-Susitna Borough,rural,4.98,4.98,4.98,4.98,1.4,76.4,6.0,88875.0,43606,
AK,99701,2722,"537 Johansen Expy, Fairbanks, AK 99701",Fairbanks North Star Borough,rural,4.98,4.98,4.98,4.98,4.9,58.4,6.8,69534.0,18295,
AL,30165,658,2510 Redmond Cir Nw,Cherokee,rural,3.52,3.52,3.52,3.52,11.6,62.7,20.9,58553.0,42146,5.4
AL,35007,4756|423,9085 Hwy 119,Shelby,rural,3.06,3.06,3.06,3.06,14.6,70.9,10.4,81351.0,27052,5.6
AL,35010,726,"2643 Highway 280, Alexander City, AL 35010",Coosa,rural,4.0,4.0,4.0,4.0,31.5,61.9,4.4,46730.0,20406,5.6
AL,35016,306,"1450 No. Brindlee Mt, Arab, AL 35016",Blount,rural,4.02,4.02,4.02,4.02,0.5,90.0,5.0,55440.0,17532,5.4
AL,35022,764,"750 Academy Dr, Bessemer, AL 35022",Jefferson,rural,3.06,3.06,3.06,3.12,54.2,40.7,2.3,74951.0,23237,5.6
AL,35023,4497,"1007 Red Farmer Dr, Hueytown, AL 35023",Jefferson,rural,3.06,3.06,3.06,3.06,30.7,61.3,4.1,67141.0,25335,5.6
AL,35034,425,"10675 Highway 5, Brent, AL 35034",Bibb,rural,4.46,4.46,4.46,4.46,47.3,49.7,2.5,39474.0,5327,5.6
AL,35040,3271,"5100 Highway 31, Calera, AL 35040",Chilton,rural,3.12,3.12,3.12,3.12,26.9,61.5,9.6,72474.0,18464,5.6
AL,35043,4330,"16077 Highway 280, Chelsea, AL 35043",Shelby,rural,3.06,3.06,3.06,3.06,7.0,87.5,3.6,106660.0,14564,5.6
AL,35045,424,"1415 7th St S, Clanton, AL 35045",Chilton,rural,4.0,4.0,4.0,4.0,11.5,77.3,6.4,61822.0,14496,5.6
AL,35055,670,626 Olive St Sw,Cullman,rural,3.37,3.37,3.37,3.37,1.3,91.2,3.6,56769.0,22521,5.4
AL,35058,7280,5601 Highway 157,Cullman,rural,3.37,,,,0.6,84.3,10.6,58631.0,10555,5.4
AL,35071,1201,"890 Odum Rd, Gardendale, AL 35071",Jefferson,rural,3.06,3.06,3.06,3.06,10.9,78.8,1.0,78914.0,17459,5.6
AL,35080,4189,"335 Helena Marketplace, Helena, AL 35080",Jefferson,rural,3.06,3.06,3.06,3.06,13.9,76.1,2.8,106660.0,19561,5.6
AL,35094,562,"8551 Whitfield Ave, Leeds, AL 35094",Jefferson,rural,4.0,4.0,4.0,4.0,12.1,80.8,4.4,69548.0,15406,5.6
AL,35121,315,"2453 2nd Ave E, Oneonta, AL 35121",Blount,rural,4.02,4.02,4.02,4.02,2.0,81.1,14.5,51098.0,16591,5.4
AL,35124,5262,"2181 Pelham Pkwy, Pelham, AL 35124",Shelby,rural,3.06,3.06,3.06,3.06,10.8,71.3,11.3,91836.0,24408,5.6
AL,35125,5113,"165 Vaughan Ln, Pell City, AL 35125",St. Clair,rural,4.0,4.0,4.0,4.0,9.1,84.3,1.6,61865.0,10759,5.6
AL,35146,3386,"160 Springville Station Blvd, Springville, AL 35146",Blount,rural,4.0,4.0,4.0,4.0,11.4,81.8,2.0,79200.0,12908,5.4
AL,35148,2723,"690 Highway 78, Sumiton, AL 35148",Jefferson,rural,4.32,4.32,4.32,4.32,5.2,92.1,0.6,52991.0,2418,5.6
AL,35150,730,"41301 Us Highway 280, Sylacauga, AL 35150",Clay,rural,4.0,4.0,4.0,4.0,33.0,61.6,1.8,41240.0,17283,5.6
AL,35160,432,"214 Haynes St, Talladega, AL 35160",Clay,rural,4.0,4.0,4.0,4.0,42.8,50.0,3.9,44852.0,26649,5.6
AL,35206,762,9248 Parkway E,Jefferson,urban,3.06,3.06,3.06,3.12,71.0,22.1,5.0,38671.0,16477,5.6
AL,35209,4504|1481,312 Palisades Blvd,Jefferson,urban,3.12,3.12,3.12,3.12,22.5,65.6,6.4,74742.0,29884,5.6
AL,35210,1711,1600 Montclair Rd,Jefferson,rural,3.12,3.12,3.12,3.12,28.6,62.4,6.0,70902.0,13230,5.6
AL,35214,1158,"2473 Hackworth Rd, Adamsville, AL 35214",Jefferson,rural,4.32,4.32,4.32,4.32,74.1,18.3,1.3,55703.0,17507,5.6
AL,35215,5100,1916 Center Point Pkwy,Jefferson,urban,3.06,3.06,3.06,3.06,76.2,16.0,6.1,47975.0,46738,5.6
AL,35216,3184|4580,3320 Lorna Rd,Jefferson,urban,3.12,3.12,3.12,3.12,24.5,62.9,6.9,68237.0,38352,5.6
AL,35235,2713,"5919 Trussville Crossings Pkwy, Trussville, AL 35235",Jefferson,urban,3.12,3.12,3.12,3.12,64.0,30.0,2.4,59476.0,20043,5.6
AL,35242,2111,5335 Highway 280,Jefferson,urban,3.12,3.12,3.12,3.12,10.3,79.7,3.2,115541.0,56466,5.6
AL,35244,3424|1229,2653 Valleydale Road,Jefferson,urban,3.06,3.06,3.06,3.06,18.1,67.8,4.7,106338.0,36783,5.6
AL,35405,5256|715,4201 Hargrove Rd E,Tuscaloosa,urban,3.52,3.52,3.52,3.52,54.4,38.7,3.1,60210.0,49196,5.6
AL,35476,5248|2306,1660 Mcfarland Boulevard,Tuscaloosa,urban,3.52,3.52,3.52,3.52,53.5,39.5,5.0,60347.0,8240,5.6
AL,35501,287,"1801 Highway 78 E, Jasper, AL 35501",Walker,rural,3.14,3.14,3.32,3.32,12.6,75.8,7.2,52927.0,10126,5.4
AL,35555,1052,"3186 Highway 171 N, Fayette, AL 35555",Fayette,rural,4.66,4.66,4.66,4.66,19.7,77.2,0.1,45787.0,9953,5.4
AL,35565,409,"42466 Highway 195, Haleyville, AL 35565",Franklin,rural,4.5,4.5,4.5,4.5,1.7,90.1,6.0,48558.0,10966,5.2
AL,35570,1100,"1706 Military St S, Hamilton, AL 35570",Lamar,rural,4.5,4.5,4.5,4.5,5.4,88.5,1.3,52454.0,10775,5.4
AL,35594,362,"2575 Us Highway 43, Winfield, AL 35594",Fayette,rural,4.67,4.67,4.67,4.67,3.7,93.8,0.8,53651.0,7094,5.4
AL,35601,2488,1203 6th Ave Se,Morgan,urban,3.42,3.42,3.42,3.42,26.8,49.7,19.9,46276.0,34817,5.4
AL,35603,662,2800 Spring Avn. S.w,Lawrence,rural,3.42,3.42,3.42,3.42,13.2,75.8,6.7,71453.0,32372,5.2
AL,35611,661,"1011 Us Highway 72 E, Athens, AL 35611",Limestone,rural,2.74,2.74,2.74,2.74,17.0,69.0,8.1,54094.0,28375,5.2
AL,35630,4188|766,1410 Florence Blvd,Lauderdale,urban,3.67,3.67,3.67,3.67,19.9,69.7,5.4,41174.0,33252,4.9
AL,35633,4187,2701 Cloverdale Road,Lauderdale,rural,3.67,3.67,3.67,3.67,5.5,88.7,1.4,65385.0,20720,4.9
AL,35640,1124,"1201 Highway 31 Nw, Hartselle, AL 35640",Morgan,rural,4.02,4.02,4.02,4.02,5.9,88.6,1.9,69233.0,26909,5.4
AL,35650,394,"15445 Highway 24, Moulton, AL 35650",Lawrence,rural,4.02,4.02,4.02,4.02,5.6,80.2,2.2,54230.0,13101,5.2
AL,35653,403,"13675 Highway 43, Russellville, AL 35653",Colbert,rural,4.22,4.22,4.22,4.22,9.7,53.2,35.1,52648.0,10956,4.9
AL,35661,660,"301 Avalon Ave, Muscle Shoals, AL 35661",Colbert,rural,3.67,,,,15.2,76.9,4.9,68659.0,18982,4.9
AL,35750,6878,"14595 Highway 231 431 N, Hazel Green, AL 35750",Madison,rural,2.68,2.68,2.68,2.68,16.4,76.6,0.9,72052.0,14255,5.2
AL,35757,7342,7140 Wall Triana Highway,Limestone,urban,2.68,2.68,2.68,2.68,26.9,62.8,3.2,106897.0,17622,5.2
AL,35758,2690|5703,8650 Madison Blvd,Madison,urban,2.68,2.68,2.68,2.68,14.7,67.7,7.3,103914.0,48043,5.2
AL,35763,5197,"330 Sutton Rd Se, Huntsville, AL 35763",Madison,rural,2.68,2.68,2.68,2.68,3.6,86.8,2.2,122929.0,19203,5.2
AL,35768,712,"24833 John T Reid Pkwy, Scottsboro, AL 35768",Jackson,rural,4.02,4.02,4.02,4.02,3.3,87.8,2.8,46386.0,12328,5.2
AL,35801,375,3031 Memorial Pkwy Sw,Madison,urban,2.68,2.68,2.68,2.68,10.1,79.2,3.9,97643.0,24002,5.2
AL,35802,5716,9020 Bailey Cove Rd Se,Madison,urban,2.68,2.68,2.68,2.68,15.1,74.9,4.2,68352.0,23508,5.2
AL,35803,434,11610 Memorial Pkwy Sw,Madison,rural,2.68,2.68,2.68,2.68,4.2,83.2,4.6,89714.0,28210,5.2
AL,35805,5925,2305 Jordan Ln Sw,Madison,urban,2.68,,,,33.1,42.2,19.6,30365.0,20907,5.2
AL,35806,332,6140a Univ Drive,Madison,urban,2.68,2.68,2.68,2.68,28.1,58.7,5.7,75637.0,27549,5.2
AL,35810,7254|3185|433,1 Cotton Valley Drive Nw,Madison,urban,2.68,2.68,2.68,2.68,69.1,20.2,6.0,46285.0,31668,5.2
AL,35811,7324,2165 Winchester Rd,Madison,rural,2.68,2.68,2.68,2.68,25.5,66.4,3.3,81754.0,28841,5.2
AL,35903,301,"340 E Meighan Blvd, Gadsden, AL 35903",Cherokee,rural,3.96,3.96,3.96,3.96,31.2,62.4,4.4,51119.0,17717,5.4
AL,35954,316,"973 Gilbert Ferry Rd Se, Attalla, AL 35954",DeKalb,rural,4.02,4.02,4.02,4.02,6.9,86.1,3.7,52313.0,12594,5.4
AL,35957,298,"1972 Hwy 431, Boaz, AL 35957",Blount,rural,3.16,3.16,3.16,3.16,3.7,75.5,18.1,46799.0,16269,5.4
AL,35960,5126,"1950 W Main St, Centre, AL 35960",Cherokee,rural,4.02,4.02,4.02,4.02,8.7,86.6,0.8,45925.0,9101,5.4
AL,35968,691,"2001 Glenn Blvd Sw, Fort Payne, AL 35968",DeKalb,rural,4.02,4.02,4.02,4.02,7.8,71.3,17.5,54766.0,4870,5.4
AL,35976,681,"11697 Us Highway 431, Guntersville, AL 35976",Blount,rural,3.22,3.22,3.22,3.22,5.6,83.4,7.2,63551.0,16769,5.4
AL,36027,1638,"3176 S Eufaula Ave, Eufaula, AL 36027",Barbour,rural,4.0,4.0,4.0,4.0,45.4,45.4,4.7,39419.0,14887,5.8
AL,36037,1462,"501 Willow Ln, Greenville, AL 36037",Butler,rural,4.0,4.0,4.0,4.0,50.2,44.7,2.1,47707.0,13177,5.8
AL,36054,4318,"145 Kelley Blvd, Millbrook, AL 36054",Elmore,rural,2.86,2.86,2.86,2.86,24.5,59.5,8.4,53371.0,15233,5.8
AL,36066,483,"1903 Cobbs Ford Rd, Prattville, AL 36066",Autauga,urban,2.86,2.86,2.86,2.86,15.8,74.7,2.9,78271.0,21626,5.8
AL,36078,1057,"2190 Gilmer Avenue, Tallassee, AL 36078",Elmore,rural,4.0,4.0,4.0,4.0,22.7,73.1,1.6,61574.0,13398,5.8
AL,36081,723,"1420 Highway 231 S, Troy, AL 36081",Bullock,rural,4.0,4.0,4.0,4.0,42.5,50.2,0.9,39133.0,16008,5.8
