Företagsnamn;Organisationsnummer;SNI;Antal anställda;Omsättning tkr;Webbplats
Nyköping Energi AB;556000-1111;35300;180;620000;https://www.nykopingenergi.se
Bergslagen Elnät AB;556000-2222;35130;95;410000;bergslagenelnat.se
Kustkraft Sverige AB;556000-3333;35110;240;1200000;www.kustkraft.se
Lilla Byns Elhandel AB;556000-4444;35140;12;38000;lillabyn-el.se
Nordfrakt Logistik AB;556000-5555;49410;310;980000;https://nordfrakt.se
Skärgårdsrederiet AB;556000-6666;50100;140;520000;skargardsrederiet.se
Inlandsbanan Gods AB;556000-7777;49200;68;300000;inlandsbanangods.se
Minitaxi i Staden AB;556000-8888;49320;22;19000;minitaxi.se
Hamnlogistik Väst AB;556000-9999;52240;150;445000;hamnlogistikvast.se
Grönsakshallen Färsk AB;556001-0001;10200;80;260000;gronsakshallen.se
Fjällvärme Ekonomisk Förening;769600-1234;35300;55;140000;fjallvarme.se
