phase,bond,week,low,high,last_or_sale,sold_000,source_quote,issue
pre_closure,US Government 2s (coupon),1914-07-31,,,97.0,,"United States Bonds.—Sales of Government bonds at the Board include $1,000 2s, coup., at 97",cfc_19140801
pre_closure,US Government Panama 3s (coupon),1914-07-31,,,101.75,,"$1,000 Panama 3s, coup., at 101 3/4",cfc_19140801
reopening,US Steel s f g 5s 1963,1914-11-28,99.75,100.25,101.0,494,"U S Steel Corp s f g 5s, April 1963  494  99 3/4  100 1/4  101 (most-active bond, $494,000 sold)",cfc_19141205
reopening,US Rubber 10-yr coll tr 6s 1918,1914-11-28,100.875,101.875,101.875,138,"U S Rubber 10-yr coll tr 6s, 1918  138  100 7/8  101 7/8  101 7/8",cfc_19141205
reopening,Bethlehem Steel 1st ext s f 5s 1926,1914-11-28,97.0,98.75,98.0,16,"Bethlehem Steel 1st ext s f 5s, 1926  16  97  98 3/4  98",cfc_19141205
reopening,Central Leather 20-yr g 5s 1925,1914-11-28,96.0,97.75,,117,"Central Leather 20-year g 5s, 1925  117  96  97 3/4",cfc_19141205
reopening,Interboro Rapid Transit 1st & ref 5s 1966,1914-11-28,96.0,97.0,,176,"Interboro Rap Tran 1st & ref 5s, '66  176  96  97",cfc_19141205
reopening,Texas Co conv deb 6s 1931,1914-11-28,94.5,95.5,,96,"Texas Co (The) conv deb 6s, 1931  96  94 1/2  95 1/2",cfc_19141205
reopening,Erie RR 5s Apr 1915 (short high-grade),1914-11-28,99.0,99.75,,,"Erie RR 5s, April 1 1915  99  99 3/4 (bid/asked)",cfc_19141205
reopening,Intl Harvester 5s Feb 1915 (short high-grade),1914-11-28,100.0,100.25,,,"Int Harv 5s Feb 15 '15  100  100 1/4",cfc_19141205
reopening,Amer Tel & Tel Sub Cos 5s 1916,1914-11-28,99.5,100.0,,,"Am T & T Sub Cos 5s, 1916  99 1/2  100",cfc_19141205
reopening_sale,Chicago City Ry 5s 1927 (actual Nov 28 trade),1914-11-28,98.0,98.5,98.25,3,"Chicago City Ry 5s of 1927—Nov. 28, $3,000 at 98@98 1/2",cfc_19141205
