year,week,issue,centre,spot_pct,to_arrive_pct,gap_pp,gap_kind,source_quote,note
1910,1910-09-17,cfc_19100917,Berlin,3.375,4.25,0.6,qualitative,"in Berlin; spot bills are not now negotiable under 3 3/8%, while bills to arrive are charged a somewhat higher figure than the official Bank rate of 4%","to-arrive dearer than spot approaching quarter-end -- and 1910 was a war-FREE firm autumn"
1910,1910-10-01,cfc_19101001,Berlin,4.5,4.5,0.0,exact,"the rate there is now 4 1/2% for both spot bills and bills to arrive","the single Oct-1 snapshot -- caught on a week the gap read 'for both'"
1910,1910-10-15,cfc_19101015,Berlin,4.0,4.5,0.5,exact,"The Berlin rate has moved up to 4% for spot bills and 4 1/2% for bills to arrive, notwithstanding that this week's Reichsbank statement showed a substantial gain in cash","+0.5 gap in a war-free autumn -- same magnitude as Agadir 1911"
1911,1911-09-02,cfc_19110902,Berlin,3.375,3.75,0.375,qualitative,"Berlin has raised its spot rate to 3 3/8% and will not consider bills to arrive below a higher figure","gap already forming in early September"
1911,1911-09-16,cfc_19110916,Berlin,4.0,4.25,0.25,exact,"Berlin is charging 4% for spot bills, but will not accept bills to arrive below 4 1/4%",""
1911,1911-09-23,cfc_19110923,Berlin,4.25,4.75,0.5,exact,"the spot rate is 4 1/4% as compared with 4 3/4% for bills to arrive, while very high rates are bid","peak; 'very high rates bid for foreign assistance' (Agadir-specific narrative)"
1911,1911-09-30,cfc_19110930,Berlin,4.75,5.0,0.25,qualitative,"Berlin names 4 3/4% for spot bills and, as a rule, a somewhat higher figure for bills to arrive after the end of the month","quarter-end"
1911,1911-10-07,cfc_19111007,Berlin,4.0,4.5,0.5,exact,"Berlin is now willing to accept spot bills at 4%, but for bills to arrive the terms are 4 1/2%","post-settlement, gap persists"
1911,1911-10-14,cfc_19111014,Berlin,4.625,4.5,0.0,approx,"Berlin is distinctly higher than a week ago, 4 1/2 to 4 3/4% being quoted for spot bills and about 4 1/4 to 4 3/4% for bills to arrive [OCR uncertain]","gap converging as the crisis passes"
1911,1911-11-04,cfc_19111104,Berlin,,,0.0,approx,"Berlin has lowered its spot quotation","easing; gap gone by November"
1912,1912-10-05,cfc_19121005,Berlin,3.75,3.75,0.0,exact,"the closing rate for all maturities as quoted by cable yesterday was 3 3/4%",""
1912,1912-10-19,cfc_19121019,Berlin,4.75,4.875,0.125,exact,"the private rate in Berlin closed yesterday at 4 3/4% ... for bills to arrive 1/8% above these figures. A week ago 4 3/4% was the spot rate for all maturities","a small quarter-end gap opens mid-October, having been 'all maturities' a week earlier"
1912,1912-12-07,cfc_19121207,Berlin,6.0,6.0,0.0,exact,"In Berlin ninety-day bills 6%. These rates are for both spot and to arrive commitments","Balkan winter crisis; no gap despite 6% money"
1908,1908-10-10,cfc_19081010,Berlin,3.375,3.375,0.0,exact,"at Berlin and Frankfort it is 3 3/8%","easy money, single undivided rate (just after the Bosnian annexation)"
1909,1909-02-27,cfc_19090227,Berlin,2.375,2.375,0.0,exact,"at Berlin and Frankfort it is 2 3/8%","easy money, single rate at the Bosnian war-scare peak"
