date,item,value_francs,note,source_quote
1871-06-27,loan1_amount_offered,2000000000,"First Thiers indemnity loan: a 5% rente, 2 billion fr nominal","""l'Etat avait demande 2 milliards a la France"" (Le Temps, 2 Jul 1871)"
1871-06-30,loan1_subscriptions,4500000000,"Reported total past what was first announced [OCR-VERIFY]","""4 milliards 500 millions, et tout n'etait pas encore completement connu"""
1871-06-30,loan1_paris_share,3500000000,"Paris alone >3/4 of the total [OCR-VERIFY]","""Paris... y figure pour plus des trois quarts, 3 milliards 500 millions"""
1871-07-01,loan1_subscriptions,5000000000,"Near 5 billion in a single day [OCR-VERIFY]","""nous atteignons pres de 5 milliards en un seul jour"""
1871-07-02,loan1_oversubscription_ratio,2.5,"~2.5x covered: 2bn asked, ~5bn offered","""la France lui avait repondu par une offre de pres de 5 milliards"""
1872-07-28,loan2_amount_offered,3000000000,"Second (great) Thiers loan: EMPRUNT NATIONAL DE 3 MILLIARDS, opened ~28 Jul 1872","""EMPRUNT NATIONAL DE 3 MILLIARDS"" / ""l'emprunt etait deja couvert avant que le Tresor n'ouvrit ses guichets"""
1872-07-29,loan2_subscriptions_day1,4000000000,"~4 billion known by evening of the first day [OCR-VERIFY]","""Le total des souscriptions connues jusqu'a present est d'environ quatre milliards"" (Versailles, 29 Jul)"
1872-08-01,loan2_subscriptions_total,41641000000,"Final: >12x covered, 41.641 billion in capital [OCR-VERIFY]","""plus de douze fois... nous sautons de 30 milliards a 41 milliards 641 millions en capital"""
1872-08-01,loan2_oversubscription_ratio,12,"More than 12x covered (3bn offered)","""Ce n'est pas seulement dix fois que l'emprunt a ete couvert, c'est plus de douze fois"""
1872-08-01,loan2_france_rentes_share,1037000000,"France's own share in rentes; Paris ~791M [OCR-VERIFY]","""la part de la France etait en rentes de 1 milliard 37 millions, dont pres de 791 millions pour Paris"""
1872-08-01,loan2_foreign_share,1427000000,"Foreign contingent [OCR-VERIFY]","""le contingent de l'etranger est de 1 milliard 427 millions"""
