# First Moroccan Crisis  window=1905-01-07..1906-03-31  (paper n=62)
city                   beta(Lon)      t  beta(2iv)      t    n war
amsterdam_bank             -0.00  -0.00       0.00   0.00   65   9
amsterdam_openmkt          -0.08  -0.68      -0.10  -0.85   65   9
berlin_bank                 0.50   2.22       0.59   2.63   65   9
berlin_openmkt              0.25   0.97       0.15   0.60   65   9
bombay_bank                 0.14   0.33      -0.02  -0.05   65   9
brussels_bank              -0.00  -0.00       0.00   0.00   65   9
brussels_openmkt            0.18   1.47       0.29   2.34   65   9
christiana_bank             0.07   0.69       0.08   0.76   65   9
christiana_market           0.07   0.69       0.08   0.76   65   9
copenhagen_bank             0.29   2.57       0.34   3.09   65   9
copenhagen_market           0.14   2.00       0.17   2.41   65   9
geneva_bank                 0.22   1.73       0.26   2.08   65   9
geneva_market               0.30   2.16       0.41   2.94   65   9
genoa_bank                 -0.00  -0.00       0.00   0.00   65   9
genoa_openmkt               0.25   1.57       0.29   1.81   65   9
lisbon_bank                -0.00    nan        nan    nan   65   9
lisbon_openmkt              0.07   0.56       0.09   0.68   65   9
london_60_days_bankers_draft_ask      0.82   6.47       0.90   7.01   65   9
london_60_days_bankers_draft_bid      0.82   6.59       0.87   6.99   65   9
london_bank                 0.14   1.13       0.17   1.37   65   9
london_bank_bills_90_days_ask      0.71   5.32       0.76   5.66   65   9
london_bank_bills_90_days_bid      0.79   7.25       0.85   7.75   65   9
madrid_bank                -0.00    nan        nan    nan   65   9
madrid_openmkt              0.07   0.98       0.09   1.18   65   9
new_york_call               0.14   0.16      -0.06  -0.07   65   9
paris_bank                 -0.00    nan        nan    nan   65   9
paris_openmkt               0.51   3.02       0.59   3.48   65   9
petersburg_bank            -0.21  -1.39      -0.26  -1.68   65   9
stockholm_bank             -0.00  -0.00       0.00   0.00   65   9
stockholm_market           -0.00  -0.00       0.00   0.00   65   9
vienna_bank                 0.04   0.31       0.05   0.37   65   9
vienna_openmkt             -0.05  -0.26      -0.03  -0.16   65   9

# Bosnian Crisis  window=1908-06-06..1909-06-05  (paper n=51)
city                   beta(Lon)      t  beta(2iv)      t    n war
amsterdam_bank              0.06   0.96       0.09   1.49   53   7
amsterdam_openmkt          -0.04  -0.28      -0.02  -0.15   53   7
berlin_bank                -0.00  -0.00       0.00   0.00   53   7
berlin_openmkt              0.02   0.12       0.05   0.23   53   7
bombay_bank                 0.11   0.30       0.18   0.48   53   7
brussels_bank              -0.06  -0.96      -0.09  -1.49   53   7
brussels_openmkt            0.07   0.73       0.14   1.38   53   7
christiana_bank             0.17   1.45       0.26   2.20   53   7
christiana_market          -0.06  -0.43      -0.09  -0.67   53   7
copenhagen_bank            -0.08  -1.01      -0.13  -1.56   53   7
copenhagen_market          -0.03  -0.32      -0.04  -0.51   53   7
geneva_bank                -0.06  -0.91       0.08   1.42   53   7
geneva_market               0.01   0.07       0.11   0.97   53   7
genoa_bank                 -0.00    nan        nan    nan   53   7
genoa_openmkt              -0.12  -1.12      -0.06  -0.51   53   7
lisbon_bank                -0.00    nan        nan    nan   53   7
lisbon_openmkt             -0.00    nan        nan    nan   53   7
